user,video_title,video_tiling_pattern,rating
0001,FeedTheDucks,Pattern8_Checkerboard01,2.0
0001,FeedTheDucks,Pattern10_Checkerboard12,2.0
0001,FeedTheDucks,Pattern4_Center01,2.0
0001,FeedTheDucks,Pattern11_random1,2.0
0001,FeedTheDucks,Pattern5_Center02,3.0
0001,FeedTheDucks,Pattern6_Center12,3.0
0001,FeedTheDucks,Pattern1_Uniform_Low,1.0
0001,FeedTheDucks,Pattern12_random2,2.0
0001,FeedTheDucks,Pattern9_Checkerboard02,2.0
0001,FeedTheDucks,Pattern3_Uniform_High,3.0
0001,FeedTheDucks,Pattern7_GradCenter012,3.0
0001,FeedTheDucks,Pattern2_Uniform_Mid,3.0
0001,FootballFreestyling,Pattern1_Uniform_Low,1.0
0001,FootballFreestyling,Pattern9_Checkerboard02,1.0
0001,FootballFreestyling,Pattern4_Center01,2.0
0001,FootballFreestyling,Pattern6_Center12,2.0
0001,FootballFreestyling,Pattern8_Checkerboard01,1.0
0001,FootballFreestyling,Pattern3_Uniform_High,2.0
0001,FootballFreestyling,Pattern7_GradCenter012,2.0
0001,FootballFreestyling,Pattern5_Center02,2.0
0001,FootballFreestyling,Pattern11_random1,1.0
0001,FootballFreestyling,Pattern10_Checkerboard12,2.0
0001,FootballFreestyling,Pattern2_Uniform_Mid,2.0
0001,FootballFreestyling,Pattern12_random2,2.0
0001,LycabettusSunset,Pattern5_Center02,3.0
0001,LycabettusSunset,Pattern8_Checkerboard01,2.0
0001,LycabettusSunset,Pattern11_random1,2.0
0001,LycabettusSunset,Pattern7_GradCenter012,2.0
0001,LycabettusSunset,Pattern1_Uniform_Low,1.0
0001,LycabettusSunset,Pattern10_Checkerboard12,2.0
0001,LycabettusSunset,Pattern6_Center12,2.0
0001,LycabettusSunset,Pattern3_Uniform_High,2.0
0001,LycabettusSunset,Pattern9_Checkerboard02,1.0
0001,LycabettusSunset,Pattern12_random2,1.0
0001,LycabettusSunset,Pattern2_Uniform_Mid,1.0
0001,LycabettusSunset,Pattern4_Center01,1.0
0001,MuseumOfTheAncientAgora,Pattern8_Checkerboard01,2.0
0001,MuseumOfTheAncientAgora,Pattern10_Checkerboard12,2.0
0001,MuseumOfTheAncientAgora,Pattern12_random2,1.0
0001,MuseumOfTheAncientAgora,Pattern5_Center02,2.0
0001,MuseumOfTheAncientAgora,Pattern11_random1,1.0
0001,MuseumOfTheAncientAgora,Pattern1_Uniform_Low,1.0
0001,MuseumOfTheAncientAgora,Pattern2_Uniform_Mid,1.0
0001,MuseumOfTheAncientAgora,Pattern7_GradCenter012,2.0
0001,MuseumOfTheAncientAgora,Pattern4_Center01,2.0
0001,MuseumOfTheAncientAgora,Pattern6_Center12,3.0
0001,MuseumOfTheAncientAgora,Pattern9_Checkerboard02,2.0
0001,MuseumOfTheAncientAgora,Pattern3_Uniform_High,2.0
0001,PiraeusPort,Pattern8_Checkerboard01,2.0
0001,PiraeusPort,Pattern4_Center01,2.0
0001,PiraeusPort,Pattern7_GradCenter012,2.0
0001,PiraeusPort,Pattern10_Checkerboard12,3.0
0001,PiraeusPort,Pattern11_random1,1.0
0001,PiraeusPort,Pattern12_random2,1.0
0001,PiraeusPort,Pattern1_Uniform_Low,1.0
0001,PiraeusPort,Pattern2_Uniform_Mid,2.0
0001,PiraeusPort,Pattern5_Center02,2.0
0001,PiraeusPort,Pattern6_Center12,2.0
0001,PiraeusPort,Pattern9_Checkerboard02,2.0
0001,PiraeusPort,Pattern3_Uniform_High,2.0
0001,TempleOfHephaestus,Pattern10_Checkerboard12,2.0
0001,TempleOfHephaestus,Pattern2_Uniform_Mid,2.0
0001,TempleOfHephaestus,Pattern4_Center01,2.0
0001,TempleOfHephaestus,Pattern9_Checkerboard02,1.0
0001,TempleOfHephaestus,Pattern7_GradCenter012,3.0
0001,TempleOfHephaestus,Pattern8_Checkerboard01,1.0
0001,TempleOfHephaestus,Pattern6_Center12,3.0
0001,TempleOfHephaestus,Pattern3_Uniform_High,3.0
0001,TempleOfHephaestus,Pattern11_random1,3.0
0001,TempleOfHephaestus,Pattern12_random2,1.0
0001,TempleOfHephaestus,Pattern1_Uniform_Low,1.0
0001,TempleOfHephaestus,Pattern5_Center02,2.0
0002,FeedTheDucks,Pattern7_GradCenter012,
0002,FeedTheDucks,Pattern2_Uniform_Mid,4.0
0002,FeedTheDucks,Pattern3_Uniform_High,4.0
0002,FeedTheDucks,Pattern8_Checkerboard01,2.0
0002,FeedTheDucks,Pattern9_Checkerboard02,3.0
0002,FeedTheDucks,Pattern4_Center01,4.0
0002,FeedTheDucks,Pattern10_Checkerboard12,4.0
0002,FeedTheDucks,Pattern5_Center02,4.0
0002,FeedTheDucks,Pattern11_random1,5.0
0002,FeedTheDucks,Pattern6_Center12,5.0
0002,FeedTheDucks,Pattern12_random2,5.0
0002,FeedTheDucks,Pattern1_Uniform_Low,1.0
0002,FootballFreestyling,Pattern11_random1,2.0
0002,FootballFreestyling,Pattern1_Uniform_Low,1.0
0002,FootballFreestyling,Pattern2_Uniform_Mid,3.0
0002,FootballFreestyling,Pattern3_Uniform_High,3.0
0002,FootballFreestyling,Pattern6_Center12,4.0
0002,FootballFreestyling,Pattern8_Checkerboard01,3.0
0002,FootballFreestyling,Pattern5_Center02,3.0
0002,FootballFreestyling,Pattern9_Checkerboard02,3.0
0002,FootballFreestyling,Pattern7_GradCenter012,4.0
0002,FootballFreestyling,Pattern12_random2,4.0
0002,FootballFreestyling,Pattern4_Center01,3.0
0002,FootballFreestyling,Pattern10_Checkerboard12,4.0
0002,LycabettusSunset,Pattern3_Uniform_High,3.0
0002,LycabettusSunset,Pattern8_Checkerboard01,3.0
0002,LycabettusSunset,Pattern9_Checkerboard02,3.0
0002,LycabettusSunset,Pattern1_Uniform_Low,3.0
0002,LycabettusSunset,Pattern10_Checkerboard12,4.0
0002,LycabettusSunset,Pattern5_Center02,4.0
0002,LycabettusSunset,Pattern6_Center12,5.0
0002,LycabettusSunset,Pattern11_random1,4.0
0002,LycabettusSunset,Pattern12_random2,4.0
0002,LycabettusSunset,Pattern2_Uniform_Mid,5.0
0002,LycabettusSunset,Pattern4_Center01,4.0
0002,LycabettusSunset,Pattern7_GradCenter012,4.0
0002,MuseumOfTheAncientAgora,Pattern10_Checkerboard12,3.0
0002,MuseumOfTheAncientAgora,Pattern11_random1,2.0
0002,MuseumOfTheAncientAgora,Pattern1_Uniform_Low,2.0
0002,MuseumOfTheAncientAgora,Pattern4_Center01,2.0
0002,MuseumOfTheAncientAgora,Pattern2_Uniform_Mid,4.0
0002,MuseumOfTheAncientAgora,Pattern12_random2,2.0
0002,MuseumOfTheAncientAgora,Pattern5_Center02,2.0
0002,MuseumOfTheAncientAgora,Pattern7_GradCenter012,2.0
0002,MuseumOfTheAncientAgora,Pattern3_Uniform_High,4.0
0002,MuseumOfTheAncientAgora,Pattern9_Checkerboard02,2.0
0002,MuseumOfTheAncientAgora,Pattern8_Checkerboard01,2.0
0002,MuseumOfTheAncientAgora,Pattern6_Center12,5.0
0002,PiraeusPort,Pattern5_Center02,5.0
0002,PiraeusPort,Pattern3_Uniform_High,5.0
0002,PiraeusPort,Pattern1_Uniform_Low,5.0
0002,PiraeusPort,Pattern7_GradCenter012,5.0
0002,PiraeusPort,Pattern2_Uniform_Mid,4.0
0002,PiraeusPort,Pattern8_Checkerboard01,3.0
0002,PiraeusPort,Pattern11_random1,3.0
0002,PiraeusPort,Pattern6_Center12,5.0
0002,PiraeusPort,Pattern10_Checkerboard12,4.0
0002,PiraeusPort,Pattern4_Center01,5.0
0002,PiraeusPort,Pattern12_random2,3.0
0002,PiraeusPort,Pattern9_Checkerboard02,2.0
0002,TempleOfHephaestus,Pattern12_random2,2.0
