Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
13:00:14, 0.00, 0, 343.25, 352.49, 0.89, 0.9873, -0.0660, -0.1448, -0.0019
13:00:14, 0.03, 1, 343.26, 352.50, 0.88, 0.9873, -0.0658, -0.1448, -0.0019
13:00:14, 0.03, 1, 343.28, 352.49, 0.86, 0.9873, -0.0659, -0.1446, -0.0022
13:00:14, 0.03, 1, 343.30, 352.49, 0.85, 0.9873, -0.0658, -0.1444, -0.0022
13:00:14, 0.07, 2, 343.35, 352.49, 0.85, 0.9874, -0.0659, -0.1440, -0.0021
13:00:14, 0.07, 2, 343.37, 352.49, 0.86, 0.9874, -0.0659, -0.1438, -0.0021
13:00:14, 0.10, 3, 343.40, 352.47, 0.86, 0.9874, -0.0661, -0.1435, -0.0021
13:00:14, 0.10, 3, 343.43, 352.48, 0.85, 0.9875, -0.0659, -0.1433, -0.0021
13:00:15, 0.10, 3, 343.48, 352.45, 0.84, 0.9875, -0.0662, -0.1429, -0.0022
13:00:15, 0.13, 4, 343.50, 352.42, 0.84, 0.9875, -0.0664, -0.1427, -0.0022
13:00:15, 0.13, 4, 343.53, 352.41, 0.84, 0.9876, -0.0666, -0.1424, -0.0022
13:00:15, 0.17, 5, 343.55, 352.38, 0.82, 0.9876, -0.0668, -0.1423, -0.0024
13:00:15, 0.17, 5, 343.56, 352.37, 0.84, 0.9876, -0.0669, -0.1422, -0.0023
13:00:15, 0.17, 5, 343.59, 352.39, 0.83, 0.9876, -0.0667, -0.1419, -0.0023
13:00:15, 0.20, 6, 343.62, 352.36, 0.82, 0.9876, -0.0670, -0.1417, -0.0024
13:00:15, 0.20, 6, 343.61, 352.35, 0.84, 0.9876, -0.0671, -0.1417, -0.0022
13:00:15, 0.23, 7, 343.61, 352.36, 0.85, 0.9876, -0.0670, -0.1418, -0.0022
13:00:15, 0.23, 7, 343.62, 352.35, 0.84, 0.9876, -0.0671, -0.1416, -0.0022
13:00:15, 0.27, 8, 343.63, 352.35, 0.84, 0.9876, -0.0671, -0.1416, -0.0023
13:00:15, 0.27, 8, 343.63, 352.34, 0.84, 0.9876, -0.0672, -0.1416, -0.0023
13:00:15, 0.27, 8, 343.63, 352.33, 0.85, 0.9876, -0.0672, -0.1416, -0.0022
13:00:15, 0.30, 9, 343.62, 352.34, 0.84, 0.9876, -0.0672, -0.1417, -0.0023
13:00:15, 0.30, 9, 343.61, 352.34, 0.83, 0.9876, -0.0672, -0.1417, -0.0023
13:00:15, 0.33, 10, 343.62, 352.36, 0.81, 0.9876, -0.0669, -0.1417, -0.0025
13:00:15, 0.33, 10, 343.62, 352.40, 0.79, 0.9877, -0.0666, -0.1417, -0.0026
13:00:15, 0.33, 10, 343.62, 352.46, 0.82, 0.9877, -0.0661, -0.1417, -0.0023
13:00:15, 0.37, 11, 343.62, 352.50, 0.83, 0.9877, -0.0657, -0.1417, -0.0021
13:00:15, 0.37, 11, 343.64, 352.58, 0.84, 0.9878, -0.0651, -0.1415, -0.0020
13:00:15, 0.40, 12, 343.63, 352.64, 0.87, 0.9878, -0.0646, -0.1416, -0.0016
13:00:15, 0.40, 12, 343.63, 352.76, 0.88, 0.9879, -0.0636, -0.1416, -0.0014
13:00:15, 0.43, 13, 343.59, 352.94, 0.92, 0.9879, -0.0621, -0.1419, -0.0009
13:00:15, 0.43, 13, 343.57, 353.15, 0.94, 0.9880, -0.0603, -0.1421, -0.0005
13:00:15, 0.43, 13, 343.54, 353.45, 0.94, 0.9881, -0.0577, -0.1425, -0.0001
13:00:15, 0.47, 14, 343.51, 353.84, 0.99, 0.9883, -0.0544, -0.1427, 0.0008
13:00:15, 0.47, 14, 343.45, 354.27, 1.02, 0.9884, -0.0507, -0.1433, 0.0016
13:00:15, 0.50, 15, 343.43, 354.76, 1.05, 0.9885, -0.0466, -0.1436, 0.0025
13:00:15, 0.50, 15, 343.36, 355.19, 1.07, 0.9886, -0.0429, -0.1442, 0.0032
13:00:15, 0.50, 15, 343.33, 355.65, 1.11, 0.9887, -0.0390, -0.1444, 0.0041
13:00:15, 0.53, 16, 343.29, 356.08, 1.16, 0.9888, -0.0353, -0.1449, 0.0050
13:00:15, 0.53, 16, 343.29, 356.41, 1.14, 0.9889, -0.0324, -0.1449, 0.0053
13:00:15, 0.57, 17, 343.21, 356.67, 1.20, 0.9889, -0.0302, -0.1456, 0.0061
13:00:15, 0.57, 17, 343.24, 356.97, 1.15, 0.9890, -0.0277, -0.1454, 0.0061
13:00:15, 0.60, 18, 343.17, 357.23, 1.19, 0.9889, -0.0255, -0.1460, 0.0067
13:00:15, 0.60, 18, 343.14, 357.51, 1.18, 0.9889, -0.0230, -0.1463, 0.0070
13:00:15, 0.60, 18, 343.12, 357.78, 1.19, 0.9890, -0.0207, -0.1466, 0.0074
13:00:15, 0.63, 19, 343.08, 358.01, 1.18, 0.9889, -0.0187, -0.1469, 0.0077
13:00:15, 0.63, 19, 343.07, 358.28, 1.23, 0.9890, -0.0165, -0.1470, 0.0084
13:00:15, 0.67, 20, 343.03, 358.54, 1.23, 0.9889, -0.0142, -0.1474, 0.0087
13:00:15, 0.67, 20, 343.03, 358.85, 1.23, 0.9890, -0.0115, -0.1474, 0.0092
13:00:15, 0.67, 20, 343.01, 359.20, 1.24, 0.9890, -0.0085, -0.1476, 0.0096
13:00:15, 0.70, 21, 343.04, 359.58, 1.22, 0.9890, -0.0052, -0.1474, 0.0100
13:00:15, 0.70, 21, 342.98, 359.96, 1.24, 0.9889, -0.0020, -0.1480, 0.0107
13:00:15, 0.73, 22, 343.02, 0.43, 1.17, 0.9890, 0.0022, -0.1477, 0.0106
13:00:15, 0.73, 22, 343.00, 0.92, 1.18, 0.9889, 0.0064, -0.1479, 0.0113
13:00:15, 0.77, 23, 343.03, 1.42, 1.19, 0.9889, 0.0107, -0.1477, 0.0121
13:00:15, 0.77, 23, 343.07, 1.96, 1.19, 0.9889, 0.0154, -0.1473, 0.0128
13:00:15, 0.77, 23, 343.10, 2.59, 1.17, 0.9888, 0.0209, -0.1471, 0.0134
13:00:15, 0.80, 24, 343.12, 3.22, 1.17, 0.9887, 0.0263, -0.1470, 0.0142
13:00:15, 0.80, 24, 343.17, 3.80, 1.22, 0.9886, 0.0313, -0.1466, 0.0154
13:00:15, 0.83, 25, 343.20, 4.42, 1.27, 0.9884, 0.0366, -0.1464, 0.0166
13:00:15, 0.83, 25, 343.24, 5.04, 1.28, 0.9882, 0.0419, -0.1461, 0.0174
13:00:15, 0.83, 25, 343.27, 5.59, 1.23, 0.9880, 0.0467, -0.1458, 0.0177
13:00:15, 0.87, 26, 343.30, 6.12, 1.24, 0.9878, 0.0513, -0.1456, 0.0184
13:00:15, 0.87, 26, 343.39, 6.65, 1.23, 0.9877, 0.0558, -0.1448, 0.0189
13:00:15, 0.90, 27, 343.44, 7.19, 1.22, 0.9875, 0.0605, -0.1443, 0.0195
13:00:15, 0.90, 27, 343.53, 7.73, 1.22, 0.9873, 0.0652, -0.1436, 0.0201
13:00:15, 0.93, 28, 343.63, 8.26, 1.21, 0.9871, 0.0698, -0.1427, 0.0207
13:00:15, 0.93, 28, 343.68, 8.70, 1.24, 0.9869, 0.0735, -0.1423, 0.0215
13:00:15, 0.93, 28, 343.80, 9.10, 1.23, 0.9867, 0.0770, -0.1413, 0.0218
13:00:15, 0.97, 29, 343.84, 9.44, 1.25, 0.9865, 0.0799, -0.1410, 0.0223
13:00:15, 0.97, 29, 343.93, 9.74, 1.26, 0.9864, 0.0825, -0.1402, 0.0227
13:00:15, 1.00, 30, 343.95, 9.93, 1.23, 0.9863, 0.0842, -0.1400, 0.0227
13:00:15, 1.00, 30, 344.04, 10.12, 1.20, 0.9863, 0.0859, -0.1392, 0.0226
13:00:15, 1.00, 30, 344.08, 10.28, 1.18, 0.9862, 0.0873, -0.1389, 0.0225
13:00:15, 1.03, 31, 344.15, 10.42, 1.17, 0.9862, 0.0885, -0.1382, 0.0226
13:00:15, 1.03, 31, 344.17, 10.56, 1.15, 0.9861, 0.0898, -0.1380, 0.0226
13:00:15, 1.07, 32, 344.22, 10.70, 1.13, 0.9860, 0.0910, -0.1376, 0.0225
13:00:15, 1.07, 32, 344.26, 10.78, 1.12, 0.9860, 0.0917, -0.1373, 0.0225
13:00:15, 1.10, 33, 344.26, 10.83, 1.06, 0.9860, 0.0922, -0.1372, 0.0220
13:00:15, 1.10, 33, 344.29, 10.87, 1.04, 0.9860, 0.0926, -0.1369, 0.0219
13:00:16, 1.10, 33, 344.27, 10.95, 1.02, 0.9859, 0.0933, -0.1370, 0.0218
13:00:16, 1.13, 34, 344.28, 11.02, 1.01, 0.9859, 0.0939, -0.1369, 0.0218
13:00:16, 1.13, 34, 344.29, 11.04, 0.99, 0.9859, 0.0941, -0.1369, 0.0217
13:00:16, 1.17, 35, 344.29, 11.01, 0.96, 0.9859, 0.0939, -0.1369, 0.0213
13:00:16, 1.17, 35, 344.30, 10.96, 0.95, 0.9860, 0.0935, -0.1367, 0.0212
13:00:16, 1.17, 35, 344.30, 10.99, 0.93, 0.9859, 0.0937, -0.1367, 0.0211
13:00:16, 1.20, 36, 344.28, 10.98, 0.90, 0.9859, 0.0937, -0.1368, 0.0209
13:00:16, 1.20, 36, 344.27, 10.98, 0.91, 0.9859, 0.0937, -0.1369, 0.0209
13:00:16, 1.23, 37, 344.25, 10.95, 0.90, 0.9859, 0.0934, -0.1371, 0.0208
13:00:16, 1.23, 37, 344.19, 10.87, 0.89, 0.9859, 0.0927, -0.1376, 0.0207
13:00:16, 1.27, 38, 344.16, 10.75, 0.88, 0.9860, 0.0917, -0.1379, 0.0204
13:00:16, 1.27, 38, 344.13, 10.59, 0.85, 0.9861, 0.0904, -0.1382, 0.0200
13:00:16, 1.27, 38, 344.08, 10.36, 0.81, 0.9862, 0.0885, -0.1385, 0.0195
13:00:16, 1.30, 39, 344.02, 10.14, 0.78, 0.9863, 0.0866, -0.1391, 0.0190
13:00:16, 1.30, 39, 343.95, 9.94, 0.77, 0.9864, 0.0848, -0.1397, 0.0188
13:00:16, 1.33, 40, 343.93, 9.77, 0.76, 0.9865, 0.0834, -0.1398, 0.0184
13:00:16, 1.33, 40, 343.88, 9.59, 0.73, 0.9866, 0.0819, -0.1402, 0.0180
13:00:16, 1.33, 40, 343.84, 9.36, 0.74, 0.9867, 0.0799, -0.1406, 0.0178
13:00:16, 1.37, 41, 343.81, 9.19, 0.73, 0.9868, 0.0784, -0.1408, 0.0176
13:00:16, 1.37, 41, 343.75, 9.08, 0.77, 0.9868, 0.0774, -0.1414, 0.0178
13:00:16, 1.40, 42, 343.73, 8.99, 0.77, 0.9868, 0.0766, -0.1416, 0.0177
13:00:16, 1.40, 42, 343.72, 8.88, 0.79, 0.9869, 0.0756, -0.1417, 0.0178
13:00:16, 1.43, 43, 343.72, 8.79, 0.80, 0.9869, 0.0749, -0.1417, 0.0178
13:00:16, 1.43, 43, 343.70, 8.62, 0.81, 0.9870, 0.0734, -0.1419, 0.0177
13:00:16, 1.43, 43, 343.72, 8.40, 0.83, 0.9872, 0.0715, -0.1417, 0.0175
13:00:16, 1.47, 44, 343.72, 8.17, 0.81, 0.9873, 0.0695, -0.1417, 0.0171
13:00:16, 1.47, 44, 343.73, 7.98, 0.80, 0.9874, 0.0679, -0.1416, 0.0168
13:00:16, 1.50, 45, 343.70, 7.87, 0.78, 0.9875, 0.0670, -0.1419, 0.0165
