Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
13:32:09, 0.00, 0, 3.25, 352.06, 358.70, 0.9972, -0.0695, 0.0275, -0.0093
13:32:09, 0.00, 0, 3.28, 352.01, 358.70, 0.9971, -0.0700, 0.0278, -0.0093
13:32:09, 0.03, 1, 3.31, 351.94, 358.68, 0.9971, -0.0706, 0.0280, -0.0095
13:32:09, 0.03, 1, 3.33, 351.87, 358.63, 0.9970, -0.0712, 0.0281, -0.0098
13:32:09, 0.07, 2, 3.35, 351.79, 358.60, 0.9970, -0.0719, 0.0283, -0.0101
13:32:09, 0.07, 2, 3.38, 351.74, 358.58, 0.9969, -0.0724, 0.0285, -0.0103
13:32:09, 0.07, 2, 3.40, 351.66, 358.52, 0.9969, -0.0731, 0.0286, -0.0107
13:32:09, 0.10, 3, 3.41, 351.57, 358.47, 0.9968, -0.0739, 0.0287, -0.0111
13:32:09, 0.10, 3, 3.45, 351.50, 358.44, 0.9967, -0.0744, 0.0290, -0.0114
13:32:09, 0.10, 3, 3.46, 351.48, 358.41, 0.9967, -0.0747, 0.0291, -0.0116
13:32:09, 0.13, 4, 3.49, 351.46, 358.36, 0.9967, -0.0749, 0.0293, -0.0120
13:32:09, 0.13, 4, 3.50, 351.38, 358.30, 0.9966, -0.0755, 0.0293, -0.0125
13:32:09, 0.17, 5, 3.52, 351.36, 358.26, 0.9966, -0.0757, 0.0295, -0.0129
13:32:09, 0.17, 5, 3.52, 351.34, 358.22, 0.9966, -0.0759, 0.0295, -0.0132
13:32:09, 0.17, 5, 3.54, 351.31, 358.19, 0.9966, -0.0762, 0.0296, -0.0134
13:32:09, 0.20, 6, 3.55, 351.26, 358.15, 0.9965, -0.0766, 0.0296, -0.0137
13:32:09, 0.20, 6, 3.52, 351.19, 358.17, 0.9965, -0.0772, 0.0294, -0.0136
13:32:09, 0.23, 7, 3.49, 351.13, 358.16, 0.9965, -0.0778, 0.0291, -0.0137
13:32:09, 0.23, 7, 3.39, 351.05, 358.16, 0.9964, -0.0785, 0.0282, -0.0137
13:32:09, 0.27, 8, 3.24, 350.91, 358.12, 0.9964, -0.0796, 0.0269, -0.0141
13:32:09, 0.27, 8, 3.04, 350.81, 358.08, 0.9963, -0.0805, 0.0251, -0.0146
13:32:09, 0.27, 8, 2.76, 350.65, 358.06, 0.9963, -0.0819, 0.0226, -0.0149
13:32:09, 0.30, 9, 2.46, 350.47, 358.01, 0.9962, -0.0834, 0.0199, -0.0156
13:32:09, 0.30, 9, 2.09, 350.28, 357.98, 0.9961, -0.0850, 0.0167, -0.0160
13:32:09, 0.33, 10, 1.68, 350.06, 357.97, 0.9960, -0.0869, 0.0131, -0.0164
13:32:09, 0.33, 10, 1.19, 349.85, 357.91, 0.9959, -0.0886, 0.0087, -0.0172
13:32:09, 0.33, 10, 0.75, 349.62, 357.86, 0.9957, -0.0906, 0.0049, -0.0180
13:32:09, 0.37, 11, 0.24, 349.35, 357.81, 0.9955, -0.0929, 0.0003, -0.0189
13:32:09, 0.37, 11, 359.83, 349.13, 357.78, 0.9953, -0.0947, -0.0033, -0.0194
13:32:09, 0.40, 12, 359.30, 348.86, 357.73, 0.9951, -0.0969, -0.0080, -0.0203
13:32:09, 0.40, 12, 358.86, 348.69, 357.69, 0.9949, -0.0983, -0.0119, -0.0210
13:32:09, 0.43, 13, 358.40, 348.48, 357.70, 0.9946, -0.1001, -0.0159, -0.0214
13:32:09, 0.43, 13, 357.95, 348.26, 357.73, 0.9944, -0.1019, -0.0198, -0.0216
13:32:09, 0.43, 13, 357.47, 348.03, 357.75, 0.9941, -0.1038, -0.0240, -0.0218
13:32:09, 0.47, 14, 356.83, 347.85, 357.85, 0.9938, -0.1053, -0.0295, -0.0216
13:32:09, 0.47, 14, 356.19, 347.66, 357.84, 0.9934, -0.1068, -0.0351, -0.0223
13:32:09, 0.50, 15, 355.40, 347.48, 357.78, 0.9930, -0.1082, -0.0420, -0.0236
13:32:09, 0.50, 15, 354.60, 347.32, 357.76, 0.9925, -0.1094, -0.0490, -0.0246
13:32:09, 0.50, 15, 353.40, 347.14, 357.69, 0.9917, -0.1106, -0.0595, -0.0265
13:32:09, 0.53, 16, 352.44, 346.98, 357.60, 0.9910, -0.1117, -0.0679, -0.0282
13:32:09, 0.53, 16, 351.19, 346.91, 357.50, 0.9901, -0.1119, -0.0787, -0.0304
13:32:09, 0.57, 17, 349.89, 346.84, 357.46, 0.9891, -0.1122, -0.0900, -0.0320
13:32:09, 0.57, 17, 348.56, 346.84, 357.37, 0.9879, -0.1117, -0.1016, -0.0341
13:32:09, 0.60, 18, 347.32, 346.77, 357.30, 0.9867, -0.1119, -0.1124, -0.0360
13:32:09, 0.60, 18, 346.07, 346.73, 357.27, 0.9854, -0.1118, -0.1231, -0.0375
13:32:09, 0.60, 18, 344.82, 346.70, 357.32, 0.9839, -0.1117, -0.1338, -0.0383
13:32:09, 0.63, 19, 343.61, 346.74, 357.41, 0.9825, -0.1110, -0.1441, -0.0387
13:32:09, 0.63, 19, 342.34, 346.82, 357.57, 0.9810, -0.1101, -0.1549, -0.0384
13:32:10, 0.67, 20, 341.01, 346.87, 357.65, 0.9792, -0.1094, -0.1662, -0.0389
13:32:10, 0.67, 20, 339.65, 346.92, 357.80, 0.9773, -0.1087, -0.1777, -0.0389
13:32:10, 0.70, 21, 338.36, 347.01, 357.91, 0.9754, -0.1077, -0.1885, -0.0390
13:32:10, 0.70, 21, 337.05, 347.08, 358.05, 0.9733, -0.1069, -0.1995, -0.0389
13:32:10, 0.70, 21, 335.70, 347.18, 358.21, 0.9710, -0.1059, -0.2109, -0.0386
13:32:10, 0.73, 22, 334.31, 347.31, 358.36, 0.9686, -0.1046, -0.2225, -0.0384
13:32:10, 0.73, 22, 332.93, 347.50, 358.55, 0.9660, -0.1029, -0.2340, -0.0377
13:32:10, 0.77, 23, 331.57, 347.76, 358.62, 0.9635, -0.1004, -0.2454, -0.0377
13:32:10, 0.77, 23, 330.21, 348.06, 358.82, 0.9608, -0.0978, -0.2567, -0.0367
13:32:10, 0.77, 23, 328.89, 348.33, 358.93, 0.9581, -0.0955, -0.2677, -0.0362
13:32:10, 0.80, 24, 327.67, 348.53, 359.01, 0.9554, -0.0936, -0.2778, -0.0361
13:32:10, 0.80, 24, 326.51, 348.75, 359.18, 0.9528, -0.0918, -0.2874, -0.0350
13:32:10, 0.83, 25, 325.48, 348.94, 359.30, 0.9503, -0.0902, -0.2959, -0.0344
13:32:10, 0.83, 25, 324.43, 349.17, 359.40, 0.9478, -0.0883, -0.3045, -0.0338
13:32:10, 0.87, 26, 323.49, 349.20, 359.49, 0.9453, -0.0880, -0.3123, -0.0337
13:32:10, 0.87, 26, 322.47, 349.25, 359.58, 0.9426, -0.0875, -0.3206, -0.0336
