Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
13:58:02, 0.00, 0, 352.35, 359.35, 0.71, 0.9977, -0.0061, -0.0667, 0.0058
13:58:02, 0.03, 1, 352.26, 359.23, 0.70, 0.9977, -0.0072, -0.0674, 0.0056
13:58:02, 0.03, 1, 352.19, 359.08, 0.67, 0.9976, -0.0084, -0.0681, 0.0053
13:58:02, 0.07, 2, 352.12, 358.97, 0.66, 0.9976, -0.0094, -0.0687, 0.0051
13:58:02, 0.07, 2, 352.03, 358.89, 0.67, 0.9975, -0.0101, -0.0694, 0.0051
13:58:02, 0.07, 2, 351.98, 358.82, 0.66, 0.9975, -0.0107, -0.0698, 0.0050
13:58:02, 0.10, 3, 351.93, 358.80, 0.67, 0.9975, -0.0109, -0.0703, 0.0050
13:58:02, 0.10, 3, 351.87, 358.74, 0.68, 0.9974, -0.0114, -0.0708, 0.0052
13:58:02, 0.10, 3, 351.82, 358.71, 0.69, 0.9974, -0.0116, -0.0712, 0.0052
13:58:02, 0.13, 4, 351.77, 358.68, 0.70, 0.9973, -0.0119, -0.0717, 0.0053
13:58:02, 0.13, 4, 351.71, 358.64, 0.70, 0.9973, -0.0123, -0.0722, 0.0052
13:58:02, 0.17, 5, 351.64, 358.58, 0.68, 0.9972, -0.0128, -0.0728, 0.0050
13:58:02, 0.17, 5, 351.59, 358.52, 0.65, 0.9972, -0.0133, -0.0733, 0.0047
13:58:02, 0.20, 6, 351.52, 358.50, 0.60, 0.9972, -0.0135, -0.0739, 0.0042
13:58:02, 0.20, 6, 351.48, 358.49, 0.56, 0.9971, -0.0135, -0.0742, 0.0039
13:58:02, 0.20, 6, 351.43, 358.49, 0.54, 0.9971, -0.0135, -0.0747, 0.0037
13:58:02, 0.23, 7, 351.39, 358.51, 0.52, 0.9971, -0.0133, -0.0750, 0.0035
13:58:02, 0.23, 7, 351.34, 358.53, 0.52, 0.9971, -0.0131, -0.0755, 0.0036
13:58:02, 0.27, 8, 351.31, 358.53, 0.51, 0.9970, -0.0131, -0.0757, 0.0035
13:58:02, 0.27, 8, 351.29, 358.54, 0.51, 0.9970, -0.0130, -0.0759, 0.0034
13:58:02, 0.27, 8, 351.26, 358.53, 0.53, 0.9970, -0.0131, -0.0761, 0.0036
13:58:02, 0.30, 9, 351.22, 358.54, 0.53, 0.9970, -0.0131, -0.0765, 0.0037
13:58:02, 0.30, 9, 351.19, 358.53, 0.51, 0.9970, -0.0132, -0.0767, 0.0034
13:58:02, 0.33, 10, 351.18, 358.46, 0.51, 0.9969, -0.0137, -0.0769, 0.0034
13:58:02, 0.33, 10, 351.16, 358.47, 0.49, 0.9969, -0.0136, -0.0770, 0.0032
13:58:02, 0.37, 11, 351.16, 358.48, 0.50, 0.9969, -0.0136, -0.0770, 0.0033
13:58:02, 0.37, 11, 351.17, 358.45, 0.47, 0.9969, -0.0138, -0.0770, 0.0030
13:58:02, 0.37, 11, 351.17, 358.45, 0.47, 0.9969, -0.0138, -0.0769, 0.0030
13:58:02, 0.40, 12, 351.20, 358.45, 0.48, 0.9970, -0.0138, -0.0767, 0.0031
13:58:02, 0.40, 12, 351.23, 358.42, 0.47, 0.9970, -0.0140, -0.0764, 0.0030
13:58:02, 0.43, 13, 351.28, 358.39, 0.45, 0.9970, -0.0143, -0.0760, 0.0028
13:58:02, 0.43, 13, 351.30, 358.40, 0.42, 0.9970, -0.0142, -0.0758, 0.0026
13:58:02, 0.43, 13, 351.34, 358.37, 0.43, 0.9970, -0.0144, -0.0755, 0.0027
13:58:02, 0.47, 14, 351.38, 358.40, 0.43, 0.9971, -0.0142, -0.0751, 0.0027
13:58:02, 0.47, 14, 351.40, 358.41, 0.47, 0.9971, -0.0141, -0.0750, 0.0030
13:58:02, 0.50, 15, 351.44, 358.44, 0.48, 0.9971, -0.0139, -0.0746, 0.0031
13:58:02, 0.50, 15, 351.44, 358.48, 0.48, 0.9971, -0.0135, -0.0745, 0.0032
13:58:02, 0.53, 16, 351.48, 358.50, 0.49, 0.9971, -0.0134, -0.0742, 0.0033
13:58:02, 0.53, 16, 351.51, 358.55, 0.48, 0.9972, -0.0129, -0.0740, 0.0033
13:58:02, 0.53, 16, 351.52, 358.59, 0.48, 0.9972, -0.0126, -0.0738, 0.0033
13:58:02, 0.57, 17, 351.56, 358.60, 0.49, 0.9972, -0.0125, -0.0736, 0.0033
13:58:02, 0.57, 17, 351.56, 358.63, 0.50, 0.9972, -0.0122, -0.0736, 0.0035
13:58:02, 0.60, 18, 351.57, 358.64, 0.47, 0.9972, -0.0121, -0.0734, 0.0032
13:58:03, 0.60, 18, 351.57, 358.65, 0.46, 0.9972, -0.0120, -0.0735, 0.0032
13:58:03, 0.60, 18, 351.59, 358.68, 0.44, 0.9972, -0.0117, -0.0733, 0.0030
13:58:03, 0.63, 19, 351.59, 358.69, 0.44, 0.9972, -0.0117, -0.0733, 0.0030
13:58:03, 0.63, 19, 351.60, 358.73, 0.44, 0.9972, -0.0113, -0.0732, 0.0030
13:58:03, 0.67, 20, 351.61, 358.74, 0.43, 0.9973, -0.0113, -0.0731, 0.0030
13:58:03, 0.67, 20, 351.58, 358.76, 0.45, 0.9972, -0.0111, -0.0733, 0.0031
13:58:03, 0.70, 21, 351.57, 358.77, 0.44, 0.9972, -0.0109, -0.0734, 0.0030
13:58:03, 0.70, 21, 351.56, 358.79, 0.44, 0.9972, -0.0108, -0.0736, 0.0031
13:58:03, 0.70, 21, 351.53, 358.83, 0.43, 0.9972, -0.0105, -0.0738, 0.0030
13:58:03, 0.73, 22, 351.49, 358.86, 0.44, 0.9972, -0.0102, -0.0741, 0.0031
13:58:03, 0.73, 22, 351.42, 358.89, 0.44, 0.9971, -0.0099, -0.0748, 0.0031
13:58:03, 0.77, 23, 351.35, 358.94, 0.45, 0.9971, -0.0095, -0.0754, 0.0032
