Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
15:26:54, 0.00, 0, 327.93, 359.37, 359.46, 0.9611, -0.0040, -0.2762, -0.0061
15:26:54, 0.03, 1, 327.55, 359.41, 359.47, 0.9601, -0.0036, -0.2794, -0.0059
15:26:54, 0.03, 1, 327.21, 359.46, 359.46, 0.9593, -0.0032, -0.2822, -0.0058
15:26:54, 0.03, 1, 326.81, 359.51, 359.47, 0.9583, -0.0028, -0.2856, -0.0057
15:26:54, 0.07, 2, 326.42, 359.55, 359.48, 0.9573, -0.0025, -0.2889, -0.0055
15:26:54, 0.07, 2, 326.01, 359.56, 359.47, 0.9563, -0.0023, -0.2923, -0.0055
15:26:54, 0.10, 3, 325.63, 359.46, 359.46, 0.9553, -0.0031, -0.2955, -0.0058
15:26:54, 0.10, 3, 325.21, 359.46, 359.46, 0.9542, -0.0031, -0.2989, -0.0059
15:26:54, 0.10, 3, 324.83, 359.44, 359.46, 0.9533, -0.0033, -0.3021, -0.0060
15:26:54, 0.13, 4, 324.49, 359.45, 359.46, 0.9524, -0.0032, -0.3049, -0.0060
15:26:54, 0.13, 4, 324.04, 359.49, 359.44, 0.9511, -0.0027, -0.3087, -0.0060
15:26:54, 0.17, 5, 323.75, 359.49, 359.50, 0.9503, -0.0029, -0.3111, -0.0055
15:26:54, 0.17, 5, 323.33, 359.55, 359.45, 0.9492, -0.0022, -0.3146, -0.0058
15:26:54, 0.17, 5, 322.99, 359.52, 359.33, 0.9483, -0.0021, -0.3174, -0.0069
15:26:54, 0.20, 6, 322.54, 359.55, 359.21, 0.9470, -0.0015, -0.3211, -0.0078
15:26:54, 0.20, 6, 322.20, 359.54, 359.08, 0.9460, -0.0012, -0.3239, -0.0089
15:26:54, 0.23, 7, 321.82, 359.51, 358.93, 0.9449, -0.0010, -0.3271, -0.0102
15:26:54, 0.23, 7, 321.40, 359.56, 358.87, 0.9437, -0.0004, -0.3305, -0.0106
15:26:54, 0.27, 8, 321.01, 359.60, 358.85, 0.9426, 0.0000, -0.3337, -0.0107
15:26:55, 0.27, 8, 320.57, 359.71, 358.80, 0.9413, 0.0012, -0.3374, -0.0107
15:26:55, 0.27, 8, 320.24, 359.80, 358.83, 0.9404, 0.0018, -0.3400, -0.0102
15:26:55, 0.30, 9, 319.87, 359.86, 358.84, 0.9392, 0.0023, -0.3431, -0.0099
15:26:55, 0.30, 9, 319.55, 359.91, 358.87, 0.9383, 0.0027, -0.3457, -0.0095
15:26:55, 0.33, 10, 319.26, 359.93, 358.86, 0.9374, 0.0029, -0.3481, -0.0096
15:26:55, 0.33, 10, 319.01, 0.00, 358.81, 0.9366, 0.0036, -0.3501, -0.0097
15:26:55, 0.37, 11, 318.80, 0.07, 358.82, 0.9360, 0.0042, -0.3518, -0.0094
15:26:55, 0.37, 11, 318.62, 0.14, 358.77, 0.9355, 0.0049, -0.3533, -0.0096
15:26:55, 0.37, 11, 318.58, 0.22, 358.73, 0.9353, 0.0057, -0.3536, -0.0097
15:26:55, 0.40, 12, 318.60, 0.29, 358.65, 0.9354, 0.0065, -0.3534, -0.0101
15:26:55, 0.40, 12, 318.81, 0.36, 358.54, 0.9360, 0.0074, -0.3517, -0.0108
15:26:55, 0.43, 13, 319.23, 0.47, 358.37, 0.9373, 0.0088, -0.3482, -0.0119
15:26:55, 0.43, 13, 319.83, 0.63, 358.31, 0.9391, 0.0102, -0.3433, -0.0120
15:26:55, 0.43, 13, 320.50, 0.81, 358.33, 0.9411, 0.0116, -0.3377, -0.0113
15:26:55, 0.47, 14, 321.15, 0.91, 358.39, 0.9430, 0.0122, -0.3324, -0.0106
15:26:55, 0.47, 14, 321.82, 0.95, 358.49, 0.9449, 0.0122, -0.3269, -0.0097
15:26:55, 0.50, 15, 322.45, 0.96, 358.61, 0.9467, 0.0119, -0.3217, -0.0088
15:26:55, 0.50, 15, 323.08, 1.05, 358.65, 0.9485, 0.0124, -0.3165, -0.0082
15:26:55, 0.53, 16, 323.69, 1.09, 358.73, 0.9502, 0.0125, -0.3114, -0.0076
15:26:55, 0.53, 16, 324.30, 1.16, 358.68, 0.9518, 0.0132, -0.3064, -0.0078
15:26:55, 0.53, 16, 324.96, 1.30, 358.72, 0.9535, 0.0142, -0.3009, -0.0073
15:26:55, 0.57, 17, 325.49, 1.35, 358.59, 0.9549, 0.0149, -0.2964, -0.0083
15:26:55, 0.57, 17, 326.04, 1.47, 358.50, 0.9563, 0.0161, -0.2918, -0.0088
15:26:55, 0.60, 18, 326.55, 1.59, 358.44, 0.9576, 0.0172, -0.2875, -0.0091
15:26:55, 0.60, 18, 327.07, 1.67, 358.37, 0.9588, 0.0180, -0.2832, -0.0095
15:26:55, 0.60, 18, 327.45, 1.88, 358.38, 0.9598, 0.0197, -0.2800, -0.0090
15:26:55, 0.63, 19, 327.84, 2.01, 358.40, 0.9607, 0.0207, -0.2767, -0.0085
15:26:55, 0.63, 19, 328.19, 2.13, 358.41, 0.9615, 0.0216, -0.2737, -0.0082
15:26:55, 0.67, 20, 328.54, 2.28, 358.40, 0.9623, 0.0229, -0.2707, -0.0080
15:26:55, 0.67, 20, 328.97, 2.35, 358.40, 0.9633, 0.0235, -0.2672, -0.0080
15:26:55, 0.70, 21, 329.48, 2.36, 358.39, 0.9645, 0.0236, -0.2628, -0.0081
15:26:55, 0.70, 21, 329.95, 2.39, 358.37, 0.9656, 0.0238, -0.2589, -0.0083
15:26:55, 0.70, 21, 330.47, 2.38, 358.43, 0.9667, 0.0235, -0.2545, -0.0079
15:26:55, 0.73, 22, 330.97, 2.44, 358.48, 0.9679, 0.0239, -0.2502, -0.0075
15:26:55, 0.73, 22, 331.39, 2.44, 358.54, 0.9688, 0.0238, -0.2467, -0.0071
