Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
17:13:27, 0.00, 0, 312.90, 355.13, 356.73, 0.9150, -0.0276, -0.4002, -0.0431
17:13:27, 0.03, 1, 312.37, 355.07, 356.76, 0.9131, -0.0279, -0.4044, -0.0432
17:13:27, 0.03, 1, 311.80, 355.05, 356.82, 0.9111, -0.0281, -0.4089, -0.0429
17:13:27, 0.03, 1, 311.31, 355.04, 356.82, 0.9094, -0.0280, -0.4128, -0.0431
17:13:27, 0.07, 2, 310.74, 355.01, 356.84, 0.9073, -0.0281, -0.4173, -0.0432
17:13:27, 0.07, 2, 310.16, 354.99, 356.91, 0.9052, -0.0283, -0.4219, -0.0428
17:13:27, 0.10, 3, 309.63, 355.01, 356.90, 0.9032, -0.0279, -0.4261, -0.0430
17:13:27, 0.10, 3, 309.03, 355.01, 356.95, 0.9010, -0.0279, -0.4308, -0.0427
17:13:27, 0.10, 3, 308.47, 355.04, 356.95, 0.8989, -0.0274, -0.4352, -0.0428
17:13:27, 0.13, 4, 307.87, 355.09, 357.00, 0.8967, -0.0270, -0.4399, -0.0423
17:13:27, 0.13, 4, 307.31, 355.10, 357.00, 0.8945, -0.0267, -0.4443, -0.0424
17:13:27, 0.17, 5, 306.77, 355.12, 357.08, 0.8924, -0.0266, -0.4484, -0.0418
17:13:27, 0.17, 5, 306.17, 355.15, 357.10, 0.8901, -0.0262, -0.4530, -0.0417
17:13:27, 0.17, 5, 305.60, 355.19, 357.09, 0.8878, -0.0257, -0.4575, -0.0417
17:13:27, 0.20, 6, 305.04, 355.19, 357.10, 0.8856, -0.0255, -0.4618, -0.0418
17:13:27, 0.20, 6, 304.45, 355.27, 357.10, 0.8833, -0.0247, -0.4664, -0.0416
17:13:27, 0.23, 7, 303.87, 355.22, 357.11, 0.8809, -0.0249, -0.4708, -0.0418
17:13:27, 0.23, 7, 303.27, 355.31, 357.12, 0.8784, -0.0241, -0.4754, -0.0415
17:13:28, 0.27, 8, 302.73, 355.32, 357.12, 0.8762, -0.0238, -0.4796, -0.0416
17:13:28, 0.27, 8, 302.13, 355.35, 357.13, 0.8737, -0.0234, -0.4842, -0.0415
17:13:28, 0.27, 8, 301.50, 355.44, 357.16, 0.8710, -0.0226, -0.4890, -0.0411
17:13:28, 0.30, 9, 300.81, 355.43, 357.18, 0.8681, -0.0225, -0.4942, -0.0411
17:13:28, 0.30, 9, 300.18, 355.45, 357.18, 0.8654, -0.0221, -0.4989, -0.0410
17:13:28, 0.33, 10, 299.50, 355.50, 357.19, 0.8624, -0.0215, -0.5041, -0.0409
17:13:28, 0.33, 10, 298.77, 355.54, 357.27, 0.8592, -0.0214, -0.5096, -0.0403
17:13:28, 0.33, 10, 297.91, 355.56, 357.28, 0.8554, -0.0210, -0.5160, -0.0403
17:13:28, 0.37, 11, 297.18, 355.57, 357.29, 0.8521, -0.0207, -0.5214, -0.0403
17:13:28, 0.37, 11, 296.32, 355.56, 357.31, 0.8482, -0.0205, -0.5278, -0.0404
17:13:28, 0.40, 12, 295.47, 355.50, 357.36, 0.8442, -0.0209, -0.5341, -0.0404
17:13:28, 0.40, 12, 294.57, 355.50, 357.41, 0.8400, -0.0208, -0.5406, -0.0402
17:13:28, 0.43, 13, 293.58, 355.43, 357.40, 0.8353, -0.0209, -0.5479, -0.0408
17:13:28, 0.43, 13, 292.58, 355.36, 357.35, 0.8305, -0.0209, -0.5551, -0.0417
17:13:28, 0.43, 13, 291.46, 355.21, 357.46, 0.8249, -0.0221, -0.5633, -0.0419
17:13:28, 0.47, 14, 290.36, 355.07, 357.41, 0.8194, -0.0224, -0.5711, -0.0431
17:13:28, 0.47, 14, 289.21, 354.86, 357.36, 0.8135, -0.0232, -0.5793, -0.0447
17:13:28, 0.50, 15, 288.00, 354.68, 357.27, 0.8073, -0.0235, -0.5878, -0.0465
17:13:28, 0.50, 15, 286.80, 354.52, 357.23, 0.8010, -0.0239, -0.5963, -0.0479
17:13:28, 0.50, 15, 285.53, 354.42, 357.20, 0.7943, -0.0240, -0.6051, -0.0488
17:13:28, 0.53, 16, 284.26, 354.34, 357.24, 0.7875, -0.0242, -0.6139, -0.0493
17:13:28, 0.53, 16, 283.05, 354.22, 357.20, 0.7809, -0.0243, -0.6222, -0.0505
17:13:28, 0.57, 17, 281.86, 354.00, 357.18, 0.7743, -0.0252, -0.6302, -0.0521
17:13:28, 0.57, 17, 280.73, 353.82, 357.19, 0.7679, -0.0259, -0.6378, -0.0532
17:13:28, 0.60, 18, 279.63, 353.76, 357.16, 0.7617, -0.0256, -0.6451, -0.0541
17:13:28, 0.60, 18, 278.54, 353.63, 357.17, 0.7555, -0.0260, -0.6523, -0.0549
17:13:28, 0.60, 18, 277.53, 353.55, 357.21, 0.7497, -0.0263, -0.6590, -0.0554
17:13:28, 0.63, 19, 276.45, 353.41, 357.21, 0.7434, -0.0266, -0.6659, -0.0564
17:13:28, 0.63, 19, 275.40, 353.31, 357.26, 0.7372, -0.0271, -0.6727, -0.0569
17:13:28, 0.67, 20, 274.44, 353.14, 357.26, 0.7314, -0.0276, -0.6789, -0.0581
17:13:28, 0.67, 20, 273.50, 353.04, 357.20, 0.7258, -0.0275, -0.6848, -0.0593
17:13:28, 0.70, 21, 272.61, 352.91, 357.29, 0.7204, -0.0284, -0.6904, -0.0598
17:13:28, 0.70, 21, 271.76, 352.86, 357.26, 0.7152, -0.0280, -0.6957, -0.0605
17:13:28, 0.70, 21, 270.88, 352.80, 357.33, 0.7099, -0.0284, -0.7011, -0.0606
17:13:28, 0.73, 22, 270.02, 352.72, 357.38, 0.7046, -0.0288, -0.7064, -0.0610
17:13:28, 0.73, 22, 269.28, 352.63, 357.42, 0.7000, -0.0292, -0.7109, -0.0615
17:13:28, 0.77, 23, 268.58, 352.56, 357.39, 0.6956, -0.0290, -0.7152, -0.0623
