Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
15:20:59, 0.00, 0, 340.29, 2.67, 356.25, 0.9846, 0.0285, -0.1703, -0.0282
15:20:59, 0.03, 1, 340.16, 2.68, 356.17, 0.9844, 0.0288, -0.1714, -0.0289
15:20:59, 0.03, 1, 340.03, 2.72, 356.12, 0.9842, 0.0292, -0.1724, -0.0292
15:20:59, 0.03, 1, 339.89, 2.75, 356.07, 0.9839, 0.0296, -0.1737, -0.0296
15:20:59, 0.07, 2, 339.72, 2.75, 355.99, 0.9836, 0.0298, -0.1750, -0.0302
15:21:00, 0.07, 2, 339.56, 2.76, 355.97, 0.9834, 0.0300, -0.1764, -0.0303
15:21:00, 0.10, 3, 339.38, 2.76, 355.92, 0.9831, 0.0301, -0.1780, -0.0307
15:21:00, 0.10, 3, 339.22, 2.72, 355.87, 0.9828, 0.0299, -0.1793, -0.0311
15:21:00, 0.10, 3, 339.09, 2.73, 355.86, 0.9826, 0.0300, -0.1804, -0.0312
15:21:00, 0.13, 4, 338.94, 2.74, 355.84, 0.9824, 0.0301, -0.1817, -0.0313
15:21:00, 0.13, 4, 338.83, 2.71, 355.83, 0.9822, 0.0299, -0.1827, -0.0314
15:21:00, 0.17, 5, 338.74, 2.71, 355.79, 0.9821, 0.0300, -0.1834, -0.0318
15:21:00, 0.17, 5, 338.65, 2.68, 355.75, 0.9819, 0.0298, -0.1842, -0.0321
15:21:00, 0.17, 5, 338.59, 2.64, 355.74, 0.9818, 0.0295, -0.1847, -0.0322
15:21:00, 0.20, 6, 338.59, 2.62, 355.78, 0.9818, 0.0293, -0.1848, -0.0320
15:21:00, 0.20, 6, 338.58, 2.65, 355.80, 0.9818, 0.0295, -0.1848, -0.0317
15:21:00, 0.23, 7, 338.63, 2.65, 355.85, 0.9819, 0.0294, -0.1844, -0.0313
15:21:00, 0.23, 7, 338.70, 2.69, 355.92, 0.9820, 0.0297, -0.1838, -0.0307
15:21:00, 0.27, 8, 338.80, 2.73, 355.93, 0.9822, 0.0299, -0.1830, -0.0305
15:21:00, 0.27, 8, 338.94, 2.72, 355.96, 0.9824, 0.0298, -0.1818, -0.0303
15:21:00, 0.27, 8, 339.09, 2.75, 356.02, 0.9827, 0.0299, -0.1805, -0.0298
15:21:00, 0.30, 9, 339.26, 2.76, 356.09, 0.9830, 0.0298, -0.1790, -0.0292
15:21:00, 0.30, 9, 339.48, 2.76, 356.16, 0.9833, 0.0297, -0.1771, -0.0287
15:21:00, 0.33, 10, 339.72, 2.73, 356.21, 0.9837, 0.0293, -0.1752, -0.0284
15:21:00, 0.33, 10, 339.96, 2.72, 356.25, 0.9841, 0.0291, -0.1731, -0.0280
15:21:00, 0.33, 10, 340.21, 2.73, 356.31, 0.9845, 0.0290, -0.1710, -0.0276
15:21:00, 0.37, 11, 340.50, 2.70, 356.37, 0.9849, 0.0285, -0.1685, -0.0272
15:21:00, 0.37, 11, 340.76, 2.70, 356.42, 0.9853, 0.0284, -0.1662, -0.0268
15:21:00, 0.40, 12, 341.05, 2.71, 356.49, 0.9857, 0.0284, -0.1638, -0.0263
15:21:00, 0.40, 12, 341.37, 2.66, 356.55, 0.9862, 0.0277, -0.1610, -0.0260
15:21:00, 0.43, 13, 341.74, 2.67, 356.56, 0.9867, 0.0277, -0.1578, -0.0259
15:21:00, 0.43, 13, 342.13, 2.57, 356.62, 0.9873, 0.0267, -0.1545, -0.0256
15:21:00, 0.43, 13, 342.54, 2.51, 356.68, 0.9879, 0.0261, -0.1510, -0.0253
15:21:00, 0.47, 14, 343.00, 2.47, 356.75, 0.9885, 0.0255, -0.1471, -0.0249
15:21:00, 0.47, 14, 343.45, 2.41, 356.88, 0.9891, 0.0248, -0.1433, -0.0239
15:21:00, 0.50, 15, 344.02, 2.41, 356.98, 0.9898, 0.0244, -0.1384, -0.0232
15:21:00, 0.50, 15, 344.67, 2.35, 357.09, 0.9906, 0.0237, -0.1328, -0.0224
15:21:00, 0.50, 15, 345.30, 2.39, 357.26, 0.9913, 0.0237, -0.1274, -0.0211
15:21:00, 0.53, 16, 345.98, 2.26, 357.41, 0.9921, 0.0223, -0.1216, -0.0200
15:21:00, 0.53, 16, 346.69, 2.23, 357.54, 0.9929, 0.0218, -0.1154, -0.0190
15:21:00, 0.57, 17, 347.47, 2.13, 357.68, 0.9937, 0.0207, -0.1087, -0.0181
15:21:00, 0.57, 17, 348.22, 2.15, 357.90, 0.9944, 0.0205, -0.1022, -0.0163
15:21:00, 0.60, 18, 349.05, 2.13, 358.07, 0.9952, 0.0201, -0.0950, -0.0150
15:21:00, 0.60, 18, 349.85, 2.12, 358.21, 0.9958, 0.0198, -0.0881, -0.0139
15:21:00, 0.60, 18, 350.72, 2.06, 358.43, 0.9965, 0.0190, -0.0807, -0.0122
15:21:00, 0.63, 19, 351.58, 2.00, 358.56, 0.9971, 0.0183, -0.0732, -0.0112
15:21:00, 0.63, 19, 352.41, 1.92, 358.70, 0.9976, 0.0175, -0.0660, -0.0102
15:21:00, 0.67, 20, 353.18, 1.87, 358.85, 0.9981, 0.0169, -0.0593, -0.0090
15:21:00, 0.67, 20, 353.91, 1.89, 359.00, 0.9984, 0.0169, -0.0529, -0.0079
15:21:00, 0.70, 21, 354.62, 1.92, 359.09, 0.9987, 0.0171, -0.0468, -0.0071
15:21:00, 0.70, 21, 355.20, 1.85, 359.10, 0.9990, 0.0164, -0.0417, -0.0072
15:21:00, 0.70, 21, 355.74, 1.86, 359.07, 0.9991, 0.0165, -0.0370, -0.0075
15:21:00, 0.73, 22, 356.24, 1.76, 359.06, 0.9993, 0.0156, -0.0326, -0.0077
15:21:00, 0.73, 22, 356.72, 1.66, 359.15, 0.9995, 0.0147, -0.0285, -0.0070
