Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
17:16:02, 0.00, 0, 354.88, 355.87, 359.43, 0.9983, -0.0358, -0.0448, -0.0066
17:16:02, 0.03, 1, 354.89, 355.92, 359.51, 0.9984, -0.0354, -0.0447, -0.0059
17:16:02, 0.03, 1, 354.92, 355.97, 359.61, 0.9984, -0.0350, -0.0445, -0.0050
17:16:02, 0.03, 1, 354.94, 355.99, 359.69, 0.9984, -0.0348, -0.0442, -0.0042
17:16:02, 0.07, 2, 354.96, 356.03, 359.77, 0.9984, -0.0345, -0.0440, -0.0035
17:16:02, 0.07, 2, 354.95, 356.03, 359.84, 0.9984, -0.0346, -0.0441, -0.0029
17:16:02, 0.10, 3, 354.92, 356.10, 359.98, 0.9984, -0.0340, -0.0443, -0.0017
17:16:02, 0.10, 3, 354.90, 356.11, 0.05, 0.9984, -0.0339, -0.0445, -0.0011
17:16:02, 0.10, 3, 354.87, 356.14, 0.13, 0.9984, -0.0337, -0.0447, -0.0004
17:16:02, 0.13, 4, 354.84, 356.17, 0.18, 0.9984, -0.0334, -0.0449, 0.0001
17:16:02, 0.13, 4, 354.81, 356.20, 0.23, 0.9984, -0.0332, -0.0452, 0.0005
17:16:02, 0.17, 5, 354.78, 356.27, 0.29, 0.9984, -0.0327, -0.0454, 0.0010
17:16:02, 0.17, 5, 354.74, 356.30, 0.35, 0.9984, -0.0324, -0.0457, 0.0015
17:16:02, 0.17, 5, 354.68, 356.33, 0.37, 0.9984, -0.0321, -0.0463, 0.0018
17:16:02, 0.20, 6, 354.65, 356.37, 0.43, 0.9984, -0.0318, -0.0466, 0.0023
17:16:02, 0.20, 6, 354.61, 356.33, 0.47, 0.9984, -0.0322, -0.0469, 0.0026
17:16:02, 0.23, 7, 354.56, 356.30, 0.55, 0.9983, -0.0325, -0.0473, 0.0033
17:16:02, 0.23, 7, 354.54, 356.29, 0.60, 0.9983, -0.0326, -0.0475, 0.0037
17:16:02, 0.27, 8, 354.54, 356.25, 0.66, 0.9983, -0.0329, -0.0474, 0.0042
17:16:02, 0.27, 8, 354.54, 356.25, 0.72, 0.9983, -0.0330, -0.0474, 0.0047
17:16:02, 0.30, 9, 354.53, 356.24, 0.73, 0.9983, -0.0331, -0.0475, 0.0048
17:16:02, 0.30, 9, 354.53, 356.25, 0.78, 0.9983, -0.0330, -0.0474, 0.0053
17:16:02, 0.33, 10, 354.52, 356.26, 0.81, 0.9983, -0.0330, -0.0475, 0.0055
17:16:02, 0.33, 10, 354.54, 356.24, 0.82, 0.9983, -0.0331, -0.0474, 0.0056
17:16:02, 0.33, 10, 354.52, 356.25, 0.81, 0.9983, -0.0330, -0.0475, 0.0055
17:16:02, 0.37, 11, 354.55, 356.20, 0.81, 0.9983, -0.0335, -0.0473, 0.0054
17:16:02, 0.37, 11, 354.56, 356.20, 0.83, 0.9983, -0.0335, -0.0472, 0.0056
17:16:02, 0.40, 12, 354.58, 356.22, 0.83, 0.9983, -0.0333, -0.0470, 0.0057
17:16:02, 0.40, 12, 354.59, 356.22, 0.84, 0.9983, -0.0333, -0.0469, 0.0057
17:16:02, 0.40, 12, 354.61, 356.22, 0.84, 0.9983, -0.0333, -0.0467, 0.0058
17:16:02, 0.43, 13, 354.62, 356.24, 0.83, 0.9983, -0.0331, -0.0466, 0.0057
17:16:02, 0.43, 13, 354.62, 356.27, 0.84, 0.9984, -0.0329, -0.0466, 0.0058
17:16:02, 0.47, 14, 354.62, 356.32, 0.85, 0.9984, -0.0324, -0.0467, 0.0059
17:16:02, 0.47, 14, 354.60, 356.35, 0.87, 0.9984, -0.0322, -0.0469, 0.0061
17:16:02, 0.50, 15, 354.55, 356.39, 0.87, 0.9984, -0.0319, -0.0473, 0.0060
17:16:02, 0.50, 15, 354.47, 356.41, 0.87, 0.9983, -0.0316, -0.0480, 0.0060
17:16:02, 0.50, 15, 354.37, 356.45, 0.91, 0.9983, -0.0313, -0.0488, 0.0064
17:16:02, 0.53, 16, 354.19, 356.47, 0.92, 0.9982, -0.0311, -0.0504, 0.0065
17:16:02, 0.53, 16, 353.93, 356.47, 0.92, 0.9981, -0.0312, -0.0527, 0.0064
17:16:02, 0.57, 17, 353.55, 356.47, 0.90, 0.9979, -0.0312, -0.0560, 0.0062
17:16:02, 0.57, 17, 353.09, 356.44, 0.92, 0.9977, -0.0315, -0.0599, 0.0062
17:16:02, 0.60, 18, 352.51, 356.44, 0.94, 0.9974, -0.0316, -0.0650, 0.0061
17:16:02, 0.60, 18, 351.88, 356.37, 0.98, 0.9970, -0.0322, -0.0705, 0.0063
17:16:02, 0.60, 18, 351.13, 356.38, 1.01, 0.9965, -0.0321, -0.0770, 0.0064
17:16:02, 0.63, 19, 350.19, 356.27, 1.02, 0.9958, -0.0332, -0.0852, 0.0061
17:16:02, 0.63, 19, 349.15, 356.21, 0.99, 0.9950, -0.0338, -0.0942, 0.0055
17:16:03, 0.67, 20, 347.86, 356.08, 0.98, 0.9938, -0.0349, -0.1054, 0.0049
17:16:03, 0.67, 20, 346.43, 355.93, 0.97, 0.9924, -0.0363, -0.1178, 0.0042
17:16:03, 0.67, 20, 344.86, 355.82, 0.97, 0.9906, -0.0373, -0.1314, 0.0036
17:16:03, 0.70, 21, 343.21, 355.65, 0.96, 0.9886, -0.0388, -0.1456, 0.0027
17:16:03, 0.70, 21, 341.61, 355.49, 0.96, 0.9864, -0.0402, -0.1593, 0.0020
17:16:03, 0.73, 22, 340.01, 355.40, 0.99, 0.9841, -0.0410, -0.1731, 0.0015
17:16:03, 0.73, 22, 338.47, 355.23, 1.06, 0.9816, -0.0426, -0.1863, 0.0013
17:16:03, 0.77, 23, 337.02, 355.10, 1.22, 0.9791, -0.0440, -0.1986, 0.0019
17:16:03, 0.77, 23, 335.60, 354.95, 1.48, 0.9765, -0.0458, -0.2106, 0.0033
17:16:03, 0.77, 23, 334.31, 354.85, 1.77, 0.9740, -0.0472, -0.2214, 0.0051
17:16:03, 0.80, 24, 333.02, 354.70, 1.96, 0.9714, -0.0489, -0.2322, 0.0059
17:16:03, 0.80, 24, 331.90, 354.59, 2.10, 0.9691, -0.0502, -0.2416, 0.0063
17:16:03, 0.83, 25, 330.70, 354.53, 2.38, 0.9664, -0.0514, -0.2516, 0.0080
17:16:03, 0.83, 25, 329.68, 354.49, 2.56, 0.9641, -0.0522, -0.2601, 0.0090
17:16:03, 0.83, 25, 328.72, 354.51, 2.80, 0.9619, -0.0527, -0.2681, 0.0106
17:16:03, 0.87, 26, 327.83, 354.46, 3.02, 0.9597, -0.0537, -0.2755, 0.0119
17:16:03, 0.87, 26, 327.00, 354.52, 3.15, 0.9577, -0.0537, -0.2823, 0.0128
17:16:03, 0.90, 27, 326.20, 354.52, 3.28, 0.9557, -0.0540, -0.2890, 0.0134
17:16:03, 0.90, 27, 325.42, 354.50, 3.37, 0.9537, -0.0545, -0.2954, 0.0138
17:16:03, 0.93, 28, 324.66, 354.50, 3.49, 0.9517, -0.0549, -0.3016, 0.0144
17:16:03, 0.93, 28, 323.98, 354.49, 3.57, 0.9499, -0.0553, -0.3072, 0.0148
17:16:03, 0.93, 28, 323.22, 354.45, 3.67, 0.9478, -0.0561, -0.3135, 0.0151
17:16:03, 0.97, 29, 322.63, 354.42, 3.71, 0.9462, -0.0565, -0.3183, 0.0151
17:16:03, 0.97, 29, 322.05, 354.40, 3.72, 0.9445, -0.0567, -0.3231, 0.0148
17:16:03, 1.00, 30, 321.56, 354.39, 3.81, 0.9431, -0.0571, -0.3271, 0.0152
17:16:03, 1.00, 30, 321.08, 354.38, 3.83, 0.9418, -0.0573, -0.3310, 0.0152
17:16:03, 1.00, 30, 320.55, 354.33, 3.91, 0.9402, -0.0580, -0.3353, 0.0153
17:16:03, 1.03, 31, 320.02, 354.35, 4.02, 0.9386, -0.0583, -0.3396, 0.0161
17:16:03, 1.03, 31, 319.53, 354.30, 4.08, 0.9371, -0.0589, -0.3436, 0.0162
17:16:03, 1.07, 32, 318.92, 354.20, 4.10, 0.9353, -0.0599, -0.3485, 0.0157
17:16:03, 1.07, 32, 318.36, 354.11, 4.12, 0.9335, -0.0607, -0.3530, 0.0153
17:16:03, 1.10, 33, 317.68, 353.98, 4.20, 0.9314, -0.0622, -0.3584, 0.0152
17:16:03, 1.10, 33, 316.89, 353.83, 4.27, 0.9288, -0.0637, -0.3647, 0.0149
17:16:03, 1.10, 33, 315.96, 353.61, 4.30, 0.9257, -0.0657, -0.3722, 0.0139
17:16:03, 1.13, 34, 314.89, 353.37, 4.34, 0.9221, -0.0678, -0.3806, 0.0128
17:16:03, 1.13, 34, 313.65, 353.18, 4.28, 0.9179, -0.0693, -0.3905, 0.0109
17:16:03, 1.17, 35, 312.33, 352.96, 4.22, 0.9133, -0.0709, -0.4010, 0.0088
17:16:03, 1.17, 35, 311.06, 352.77, 4.27, 0.9087, -0.0727, -0.4110, 0.0077
17:16:03, 1.17, 35, 309.79, 352.59, 4.31, 0.9040, -0.0744, -0.4209, 0.0066
17:16:03, 1.20, 36, 308.53, 352.41, 4.36, 0.8993, -0.0761, -0.4307, 0.0055
17:16:03, 1.20, 36, 307.32, 352.29, 4.45, 0.8946, -0.0774, -0.4400, 0.0049
17:16:03, 1.23, 37, 306.27, 352.18, 4.50, 0.8905, -0.0785, -0.4481, 0.0042
17:16:03, 1.23, 37, 305.24, 352.05, 4.57, 0.8864, -0.0798, -0.4560, 0.0035
17:16:03, 1.27, 38, 304.27, 351.96, 4.66, 0.8825, -0.0809, -0.4633, 0.0031
17:16:03, 1.27, 38, 303.35, 351.84, 4.74, 0.8787, -0.0821, -0.4703, 0.0026
17:16:03, 1.27, 38, 302.45, 351.67, 4.83, 0.8749, -0.0838, -0.4770, 0.0019
17:16:03, 1.30, 39, 301.46, 351.62, 4.91, 0.8707, -0.0845, -0.4844, 0.0016
17:16:03, 1.30, 39, 300.49, 351.50, 4.97, 0.8666, -0.0858, -0.4916, 0.0008
17:16:03, 1.33, 40, 299.58, 351.43, 5.09, 0.8626, -0.0868, -0.4984, 0.0007
17:16:03, 1.33, 40, 298.66, 351.35, 5.19, 0.8585, -0.0879, -0.5052, 0.0004
17:16:03, 1.33, 40, 297.78, 351.25, 5.28, 0.8546, -0.0890, -0.5117, -0.0001
17:16:03, 1.37, 41, 296.91, 351.20, 5.32, 0.8507, -0.0895, -0.5180, -0.0006
17:16:03, 1.37, 41, 296.16, 351.08, 5.38, 0.8472, -0.0907, -0.5234, -0.0013
17:16:03, 1.40, 42, 295.49, 350.99, 5.43, 0.8441, -0.0915, -0.5283, -0.0019
17:16:03, 1.40, 42, 294.90, 350.90, 5.50, 0.8413, -0.0925, -0.5325, -0.0023
17:16:03, 1.43, 43, 294.47, 350.80, 5.57, 0.8393, -0.0936, -0.5355, -0.0027
17:16:03, 1.43, 43, 294.07, 350.74, 5.65, 0.8374, -0.0943, -0.5383, -0.0027
17:16:03, 1.43, 43, 293.73, 350.70, 5.65, 0.8358, -0.0947, -0.5408, -0.0032
17:16:03, 1.47, 44, 293.49, 350.74, 5.71, 0.8347, -0.0946, -0.5426, -0.0027
17:16:03, 1.47, 44, 293.29, 350.77, 5.77, 0.8337, -0.0948, -0.5440, -0.0023
17:16:03, 1.50, 45, 293.11, 350.78, 5.77, 0.8329, -0.0946, -0.5453, -0.0024
17:16:03, 1.50, 45, 292.95, 350.82, 5.77, 0.8322, -0.0943, -0.5465, -0.0023
17:16:03, 1.50, 45, 292.79, 350.86, 5.81, 0.8314, -0.0943, -0.5477, -0.0020
17:16:03, 1.53, 46, 292.57, 350.90, 5.78, 0.8303, -0.0938, -0.5493, -0.0022
17:16:03, 1.53, 46, 292.33, 350.86, 5.75, 0.8292, -0.0939, -0.5510, -0.0028
17:16:03, 1.57, 47, 292.05, 350.84, 5.73, 0.8278, -0.0940, -0.5531, -0.0032
17:16:03, 1.57, 47, 291.72, 350.84, 5.72, 0.8262, -0.0940, -0.5554, -0.0036
17:16:03, 1.60, 48, 291.40, 350.85, 5.71, 0.8247, -0.0938, -0.5577, -0.0039
17:16:03, 1.60, 48, 291.06, 350.89, 5.67, 0.8230, -0.0933, -0.5603, -0.0042
17:16:03, 1.60, 48, 290.75, 350.89, 5.66, 0.8215, -0.0933, -0.5625, -0.0046
17:16:03, 1.63, 49, 290.44, 350.91, 5.63, 0.8200, -0.0929, -0.5648, -0.0049
17:16:03, 1.63, 49, 290.14, 350.92, 5.56, 0.8185, -0.0925, -0.5670, -0.0056
17:16:04, 1.67, 50, 289.83, 350.87, 5.54, 0.8170, -0.0928, -0.5691, -0.0063
17:16:04, 1.67, 50, 289.53, 350.87, 5.46, 0.8154, -0.0924, -0.5714, -0.0071
17:16:04, 1.70, 51, 289.25, 350.84, 5.46, 0.8141, -0.0925, -0.5733, -0.0074
17:16:04, 1.70, 51, 289.00, 350.84, 5.43, 0.8128, -0.0924, -0.5751, -0.0079
17:16:04, 1.70, 51, 288.73, 350.83, 5.43, 0.8114, -0.0924, -0.5770, -0.0081
17:16:04, 1.73, 52, 288.49, 350.80, 5.39, 0.8102, -0.0924, -0.5788, -0.0088
17:16:04, 1.73, 52, 288.23, 350.75, 5.38, 0.8089, -0.0927, -0.5806, -0.0094
17:16:04, 1.77, 53, 288.00, 350.75, 5.36, 0.8077, -0.0925, -0.5822, -0.0096
17:16:04, 1.77, 53, 287.78, 350.76, 5.34, 0.8066, -0.0924, -0.5837, -0.0099
17:16:04, 1.77, 53, 287.55, 350.75, 5.29, 0.8054, -0.0922, -0.5854, -0.0105
17:16:04, 1.80, 54, 287.37, 350.74, 5.25, 0.8045, -0.0920, -0.5867, -0.0110
17:16:04, 1.80, 54, 287.20, 350.74, 5.18, 0.8036, -0.0917, -0.5880, -0.0116
17:16:04, 1.83, 55, 287.05, 350.67, 5.13, 0.8028, -0.0918, -0.5890, -0.0124
17:16:04, 1.83, 55, 286.91, 350.64, 5.07, 0.8021, -0.0917, -0.5900, -0.0132
17:16:04, 1.87, 56, 286.73, 350.59, 5.01, 0.8011, -0.0918, -0.5912, -0.0139
17:16:04, 1.87, 56, 286.57, 350.51, 4.92, 0.8003, -0.0918, -0.5924, -0.0151
17:16:04, 1.87, 56, 286.38, 350.40, 4.85, 0.7992, -0.0922, -0.5937, -0.0164
17:16:04, 1.90, 57, 286.21, 350.34, 4.78, 0.7983, -0.0922, -0.5949, -0.0172
17:16:04, 1.90, 57, 286.05, 350.30, 4.70, 0.7975, -0.0921, -0.5960, -0.0182
17:16:04, 1.93, 58, 285.92, 350.30, 4.63, 0.7968, -0.0916, -0.5970, -0.0188
17:16:04, 1.93, 58, 285.77, 350.33, 4.58, 0.7960, -0.0912, -0.5981, -0.0191
17:16:04, 1.93, 58, 285.58, 350.28, 4.48, 0.7950, -0.0909, -0.5994, -0.0202
17:16:04, 1.97, 59, 285.37, 350.19, 4.40, 0.7938, -0.0911, -0.6010, -0.0214
17:16:04, 1.97, 59, 285.16, 350.09, 4.33, 0.7927, -0.0914, -0.6023, -0.0225
17:16:04, 2.00, 60, 284.88, 349.99, 4.28, 0.7911, -0.0917, -0.6043, -0.0237
17:16:04, 2.00, 60, 284.59, 349.93, 4.20, 0.7895, -0.0917, -0.6063, -0.0248
17:16:04, 2.00, 60, 284.23, 349.87, 4.15, 0.7876, -0.0918, -0.6087, -0.0257
17:16:04, 2.03, 61, 283.83, 349.78, 4.15, 0.7854, -0.0923, -0.6114, -0.0266
17:16:04, 2.03, 61, 283.35, 349.62, 4.18, 0.7828, -0.0934, -0.6146, -0.0276
17:16:04, 2.07, 62, 282.72, 349.46, 4.23, 0.7794, -0.0947, -0.6187, -0.0286
17:16:04, 2.07, 62, 281.97, 349.24, 4.29, 0.7752, -0.0963, -0.6236, -0.0301
17:16:04, 2.10, 63, 281.02, 349.01, 4.39, 0.7700, -0.0980, -0.6297, -0.0314
17:16:04, 2.10, 63, 280.04, 348.84, 4.49, 0.7645, -0.0995, -0.6361, -0.0326
