Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
17:17:57, 0.00, 0, 76.21, 14.17, 4.09, 0.7831, 0.1189, 0.6086, -0.0482
17:17:57, 0.03, 1, 76.36, 14.16, 4.04, 0.7823, 0.1184, 0.6096, -0.0486
17:17:57, 0.03, 1, 76.52, 14.18, 3.98, 0.7814, 0.1182, 0.6107, -0.0493
17:17:57, 0.03, 1, 76.67, 14.19, 3.95, 0.7806, 0.1180, 0.6118, -0.0497
17:17:57, 0.07, 2, 76.79, 14.20, 3.95, 0.7799, 0.1180, 0.6126, -0.0499
17:17:57, 0.07, 2, 76.91, 14.23, 3.96, 0.7793, 0.1183, 0.6134, -0.0501
17:17:57, 0.10, 3, 76.96, 14.24, 3.97, 0.7790, 0.1184, 0.6137, -0.0502
17:17:57, 0.10, 3, 77.01, 14.26, 3.94, 0.7787, 0.1183, 0.6141, -0.0505
17:17:57, 0.10, 3, 77.03, 14.27, 3.88, 0.7786, 0.1181, 0.6142, -0.0510
17:17:57, 0.13, 4, 77.11, 14.26, 3.90, 0.7782, 0.1181, 0.6148, -0.0509
17:17:57, 0.13, 4, 77.18, 14.27, 3.95, 0.7778, 0.1184, 0.6152, -0.0507
17:17:57, 0.17, 5, 77.27, 14.26, 3.99, 0.7773, 0.1185, 0.6158, -0.0504
17:17:57, 0.17, 5, 77.32, 14.30, 3.98, 0.7770, 0.1186, 0.6161, -0.0508
17:17:57, 0.17, 5, 77.35, 14.36, 3.96, 0.7768, 0.1189, 0.6162, -0.0513
17:17:57, 0.20, 6, 77.39, 14.45, 4.00, 0.7765, 0.1197, 0.6164, -0.0515
17:17:57, 0.20, 6, 77.46, 14.53, 3.99, 0.7761, 0.1202, 0.6168, -0.0522
17:17:57, 0.23, 7, 77.49, 14.60, 3.99, 0.7759, 0.1206, 0.6170, -0.0526
17:17:57, 0.23, 7, 77.51, 14.63, 3.97, 0.7758, 0.1208, 0.6171, -0.0529
