Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
17:17:25, 0.00, 0, 324.06, 353.82, 2.76, 0.9500, -0.0587, -0.3068, 0.0063
17:17:25, 0.03, 1, 324.24, 353.86, 2.77, 0.9505, -0.0583, -0.3052, 0.0066
17:17:25, 0.03, 1, 324.41, 353.94, 2.74, 0.9509, -0.0576, -0.3039, 0.0066
17:17:25, 0.03, 1, 324.46, 353.99, 2.69, 0.9511, -0.0570, -0.3035, 0.0063
17:17:25, 0.07, 2, 324.45, 354.03, 2.64, 0.9511, -0.0566, -0.3036, 0.0060
17:17:25, 0.07, 2, 324.41, 354.05, 2.59, 0.9510, -0.0563, -0.3040, 0.0056
17:17:25, 0.10, 3, 324.40, 354.10, 2.56, 0.9510, -0.0558, -0.3042, 0.0055
17:17:25, 0.10, 3, 324.37, 354.17, 2.51, 0.9509, -0.0551, -0.3044, 0.0053
17:17:25, 0.10, 3, 324.38, 354.23, 2.45, 0.9510, -0.0545, -0.3044, 0.0049
17:17:25, 0.13, 4, 324.41, 354.26, 2.40, 0.9511, -0.0540, -0.3041, 0.0046
17:17:25, 0.13, 4, 324.47, 354.27, 2.34, 0.9512, -0.0538, -0.3037, 0.0041
17:17:25, 0.17, 5, 324.52, 354.26, 2.30, 0.9514, -0.0538, -0.3033, 0.0038
17:17:25, 0.17, 5, 324.60, 354.26, 2.25, 0.9516, -0.0536, -0.3027, 0.0035
17:17:25, 0.17, 5, 324.67, 354.28, 2.22, 0.9518, -0.0534, -0.3021, 0.0033
17:17:25, 0.20, 6, 324.81, 354.29, 2.17, 0.9521, -0.0532, -0.3010, 0.0030
17:17:25, 0.20, 6, 324.95, 354.30, 2.13, 0.9525, -0.0530, -0.2998, 0.0027
17:17:25, 0.23, 7, 325.09, 354.29, 2.09, 0.9529, -0.0530, -0.2987, 0.0025
17:17:25, 0.23, 7, 325.19, 354.24, 2.05, 0.9531, -0.0533, -0.2978, 0.0021
17:17:25, 0.27, 8, 325.31, 354.24, 2.04, 0.9534, -0.0533, -0.2969, 0.0020
17:17:25, 0.27, 8, 325.39, 354.21, 2.03, 0.9536, -0.0534, -0.2962, 0.0019
17:17:25, 0.27, 8, 325.43, 354.20, 2.02, 0.9537, -0.0536, -0.2959, 0.0018
17:17:25, 0.30, 9, 325.43, 354.19, 2.02, 0.9537, -0.0536, -0.2959, 0.0018
17:17:25, 0.30, 9, 325.39, 354.12, 2.06, 0.9536, -0.0543, -0.2962, 0.0019
17:17:25, 0.33, 10, 325.31, 354.06, 2.05, 0.9534, -0.0548, -0.2968, 0.0016
17:17:25, 0.33, 10, 325.21, 353.98, 2.07, 0.9531, -0.0555, -0.2976, 0.0016
17:17:25, 0.33, 10, 325.08, 353.94, 2.07, 0.9527, -0.0558, -0.2987, 0.0013
17:17:25, 0.37, 11, 324.93, 353.91, 2.09, 0.9523, -0.0562, -0.2999, 0.0014
17:17:25, 0.37, 11, 324.74, 353.88, 2.11, 0.9518, -0.0564, -0.3014, 0.0014
17:17:25, 0.40, 12, 324.53, 353.88, 2.19, 0.9512, -0.0567, -0.3032, 0.0019
17:17:25, 0.40, 12, 324.33, 353.93, 2.24, 0.9507, -0.0564, -0.3048, 0.0023
