Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
17:25:12, 0.00, 0, 33.26, 359.53, 0.58, 0.9581, -0.0024, 0.2862, 0.0060
17:25:12, 0.03, 1, 32.00, 359.50, 0.60, 0.9612, -0.0028, 0.2757, 0.0063
17:25:12, 0.03, 1, 30.74, 359.44, 0.72, 0.9642, -0.0031, 0.2651, 0.0074
17:25:12, 0.03, 1, 29.48, 359.43, 0.79, 0.9670, -0.0031, 0.2545, 0.0079
17:25:12, 0.07, 2, 28.26, 359.37, 0.79, 0.9697, -0.0037, 0.2441, 0.0081
17:25:12, 0.07, 2, 27.06, 359.23, 0.91, 0.9722, -0.0047, 0.2340, 0.0093
17:25:12, 0.10, 3, 25.86, 359.08, 0.93, 0.9746, -0.0060, 0.2238, 0.0097
17:25:12, 0.10, 3, 24.67, 358.96, 0.99, 0.9768, -0.0071, 0.2137, 0.0104
17:25:12, 0.10, 3, 23.48, 358.81, 1.03, 0.9790, -0.0083, 0.2036, 0.0109
17:25:12, 0.13, 4, 22.35, 358.71, 1.12, 0.9809, -0.0092, 0.1939, 0.0118
17:25:12, 0.13, 4, 21.33, 358.58, 1.22, 0.9826, -0.0102, 0.1851, 0.0128
17:25:12, 0.17, 5, 20.35, 358.43, 1.31, 0.9841, -0.0114, 0.1768, 0.0137
17:25:12, 0.17, 5, 19.37, 358.33, 1.36, 0.9855, -0.0124, 0.1684, 0.0142
17:25:12, 0.17, 5, 18.44, 358.27, 1.29, 0.9869, -0.0131, 0.1604, 0.0135
17:25:13, 0.20, 6, 17.55, 358.26, 1.31, 0.9881, -0.0133, 0.1527, 0.0136
17:25:13, 0.20, 6, 16.77, 358.20, 1.32, 0.9891, -0.0139, 0.1460, 0.0137
17:25:13, 0.23, 7, 16.04, 358.14, 1.34, 0.9900, -0.0145, 0.1397, 0.0138
17:25:13, 0.23, 7, 15.46, 358.15, 1.40, 0.9907, -0.0144, 0.1347, 0.0142
17:25:13, 0.23, 7, 14.85, 358.08, 1.42, 0.9914, -0.0150, 0.1294, 0.0145
17:25:13, 0.27, 8, 14.43, 358.05, 1.50, 0.9918, -0.0152, 0.1258, 0.0151
17:25:13, 0.27, 8, 14.06, 358.02, 1.59, 0.9922, -0.0154, 0.1226, 0.0159
17:25:13, 0.30, 9, 13.67, 358.00, 1.64, 0.9926, -0.0156, 0.1192, 0.0163
17:25:13, 0.30, 9, 13.23, 357.91, 1.71, 0.9930, -0.0164, 0.1155, 0.0169
17:25:13, 0.33, 10, 12.93, 357.89, 1.75, 0.9933, -0.0166, 0.1129, 0.0173
17:25:13, 0.33, 10, 12.63, 357.77, 1.81, 0.9936, -0.0176, 0.1103, 0.0179
17:25:13, 0.33, 10, 12.33, 357.72, 1.90, 0.9939, -0.0180, 0.1077, 0.0186
17:25:13, 0.37, 11, 12.05, 357.68, 2.06, 0.9941, -0.0182, 0.1053, 0.0200
17:25:13, 0.37, 11, 11.70, 357.55, 2.08, 0.9944, -0.0194, 0.1023, 0.0203
17:25:13, 0.40, 12, 11.36, 357.47, 2.08, 0.9946, -0.0202, 0.0993, 0.0202
17:25:13, 0.40, 12, 10.96, 357.33, 2.07, 0.9950, -0.0215, 0.0959, 0.0202
17:25:13, 0.40, 12, 10.66, 357.23, 2.08, 0.9952, -0.0224, 0.0933, 0.0203
17:25:13, 0.43, 13, 10.36, 357.13, 2.10, 0.9954, -0.0233, 0.0907, 0.0205
17:25:13, 0.43, 13, 10.05, 357.05, 2.05, 0.9956, -0.0241, 0.0880, 0.0201
17:25:13, 0.47, 14, 9.70, 356.97, 2.03, 0.9959, -0.0248, 0.0850, 0.0199
17:25:13, 0.47, 14, 9.38, 356.88, 2.00, 0.9961, -0.0257, 0.0822, 0.0196
17:25:13, 0.50, 15, 9.08, 356.78, 1.97, 0.9963, -0.0266, 0.0796, 0.0193
17:25:13, 0.50, 15, 8.77, 356.68, 1.92, 0.9965, -0.0276, 0.0769, 0.0189
17:25:13, 0.50, 15, 8.57, 356.62, 1.97, 0.9966, -0.0281, 0.0752, 0.0193
17:25:13, 0.53, 16, 8.32, 356.52, 1.99, 0.9967, -0.0290, 0.0730, 0.0195
17:25:13, 0.53, 16, 8.04, 356.41, 2.09, 0.9968, -0.0300, 0.0706, 0.0203
17:25:13, 0.57, 17, 7.76, 356.31, 2.05, 0.9970, -0.0309, 0.0682, 0.0200
17:25:13, 0.57, 17, 7.50, 356.15, 2.05, 0.9971, -0.0323, 0.0659, 0.0200
17:25:13, 0.60, 18, 7.28, 356.03, 2.02, 0.9972, -0.0334, 0.0641, 0.0198
17:25:13, 0.60, 18, 7.05, 355.88, 2.04, 0.9973, -0.0348, 0.0621, 0.0200
17:25:13, 0.60, 18, 6.82, 355.80, 2.05, 0.9974, -0.0355, 0.0601, 0.0201
17:25:13, 0.63, 19, 6.60, 355.69, 2.08, 0.9974, -0.0365, 0.0582, 0.0203
17:25:13, 0.63, 19, 6.36, 355.63, 2.06, 0.9975, -0.0371, 0.0561, 0.0200
17:25:13, 0.67, 20, 6.14, 355.56, 2.08, 0.9976, -0.0377, 0.0542, 0.0202
17:25:13, 0.67, 20, 5.93, 355.52, 2.08, 0.9977, -0.0381, 0.0524, 0.0201
17:25:13, 0.67, 20, 5.73, 355.51, 2.06, 0.9978, -0.0382, 0.0507, 0.0199
17:25:13, 0.70, 21, 5.59, 355.48, 2.07, 0.9978, -0.0385, 0.0495, 0.0199
17:25:13, 0.70, 21, 5.46, 355.52, 2.08, 0.9979, -0.0382, 0.0483, 0.0200
17:25:13, 0.73, 22, 5.32, 355.53, 2.11, 0.9980, -0.0381, 0.0471, 0.0202
17:25:13, 0.73, 22, 5.18, 355.57, 2.12, 0.9980, -0.0378, 0.0459, 0.0203
17:25:13, 0.77, 23, 5.07, 355.63, 2.13, 0.9981, -0.0373, 0.0449, 0.0202
17:25:13, 0.77, 23, 4.95, 355.72, 2.16, 0.9982, -0.0365, 0.0438, 0.0204
17:25:13, 0.77, 23, 4.84, 355.78, 2.16, 0.9982, -0.0360, 0.0429, 0.0204
17:25:13, 0.80, 24, 4.70, 355.86, 2.18, 0.9983, -0.0353, 0.0417, 0.0204
17:25:13, 0.80, 24, 4.57, 355.94, 2.17, 0.9984, -0.0346, 0.0405, 0.0204
17:25:13, 0.83, 25, 4.41, 356.01, 2.19, 0.9984, -0.0341, 0.0391, 0.0205
17:25:13, 0.83, 25, 4.21, 356.07, 2.19, 0.9985, -0.0335, 0.0374, 0.0203
17:25:13, 0.83, 25, 3.97, 356.12, 2.20, 0.9986, -0.0332, 0.0353, 0.0204
17:25:13, 0.87, 26, 3.68, 356.16, 2.23, 0.9987, -0.0329, 0.0327, 0.0205
