Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
17:27:25, 0.00, 0, 15.75, 356.94, 352.28, 0.9882, -0.0356, 0.1349, -0.0630
17:27:25, 0.03, 1, 15.77, 356.95, 352.28, 0.9882, -0.0355, 0.1350, -0.0630
17:27:25, 0.03, 1, 15.75, 356.95, 352.30, 0.9882, -0.0355, 0.1349, -0.0628
17:27:25, 0.03, 1, 15.76, 356.95, 352.29, 0.9882, -0.0355, 0.1349, -0.0629
17:27:25, 0.07, 2, 15.75, 356.95, 352.31, 0.9882, -0.0355, 0.1349, -0.0627
17:27:25, 0.07, 2, 15.74, 356.95, 352.32, 0.9883, -0.0354, 0.1348, -0.0627
17:27:25, 0.10, 3, 15.72, 356.95, 352.34, 0.9883, -0.0354, 0.1346, -0.0625
17:27:25, 0.10, 3, 15.68, 356.96, 352.36, 0.9883, -0.0353, 0.1343, -0.0624
17:27:25, 0.10, 3, 15.68, 356.97, 352.40, 0.9884, -0.0352, 0.1344, -0.0620
17:27:25, 0.13, 4, 15.66, 356.98, 352.43, 0.9884, -0.0351, 0.1342, -0.0618
17:27:25, 0.13, 4, 15.65, 356.98, 352.45, 0.9884, -0.0350, 0.1341, -0.0616
17:27:25, 0.17, 5, 15.62, 356.97, 352.47, 0.9885, -0.0351, 0.1339, -0.0614
17:27:25, 0.17, 5, 15.59, 356.94, 352.50, 0.9885, -0.0352, 0.1335, -0.0612
17:27:25, 0.20, 6, 15.54, 356.94, 352.52, 0.9886, -0.0352, 0.1332, -0.0610
17:27:26, 0.20, 6, 15.52, 356.94, 352.53, 0.9886, -0.0352, 0.1330, -0.0610
17:27:26, 0.20, 6, 15.49, 356.93, 352.55, 0.9887, -0.0352, 0.1327, -0.0607
17:27:26, 0.23, 7, 15.46, 356.93, 352.56, 0.9887, -0.0352, 0.1324, -0.0607
17:27:26, 0.23, 7, 15.43, 356.90, 352.60, 0.9888, -0.0354, 0.1322, -0.0603
17:27:26, 0.27, 8, 15.40, 356.91, 352.60, 0.9888, -0.0353, 0.1319, -0.0603
17:27:26, 0.27, 8, 15.36, 356.89, 352.58, 0.9888, -0.0355, 0.1316, -0.0605
17:27:26, 0.27, 8, 15.34, 356.88, 352.59, 0.9888, -0.0356, 0.1314, -0.0604
17:27:26, 0.30, 9, 15.33, 356.87, 352.59, 0.9889, -0.0356, 0.1313, -0.0604
17:27:26, 0.30, 9, 15.34, 356.91, 352.60, 0.9889, -0.0353, 0.1314, -0.0603
17:27:26, 0.33, 10, 15.35, 356.93, 352.64, 0.9889, -0.0351, 0.1315, -0.0601
17:27:26, 0.33, 10, 15.36, 356.95, 352.67, 0.9889, -0.0348, 0.1316, -0.0597
17:27:26, 0.37, 11, 15.42, 356.97, 352.66, 0.9888, -0.0348, 0.1322, -0.0598
17:27:26, 0.37, 11, 15.49, 356.99, 352.67, 0.9887, -0.0346, 0.1328, -0.0598
17:27:26, 0.37, 11, 15.55, 357.01, 352.68, 0.9887, -0.0344, 0.1333, -0.0597
17:27:26, 0.40, 12, 15.67, 357.05, 352.68, 0.9885, -0.0342, 0.1344, -0.0597
17:27:26, 0.40, 12, 15.79, 357.07, 352.65, 0.9884, -0.0340, 0.1354, -0.0599
17:27:26, 0.43, 13, 15.96, 357.12, 352.64, 0.9882, -0.0337, 0.1369, -0.0601
17:27:26, 0.43, 13, 16.13, 357.14, 352.63, 0.9880, -0.0337, 0.1384, -0.0601
17:27:26, 0.43, 13, 16.27, 357.15, 352.61, 0.9878, -0.0337, 0.1396, -0.0603
17:27:26, 0.47, 14, 16.48, 357.19, 352.57, 0.9875, -0.0335, 0.1414, -0.0606
17:27:26, 0.47, 14, 16.70, 357.23, 352.54, 0.9872, -0.0333, 0.1433, -0.0608
17:27:26, 0.50, 15, 16.96, 357.24, 352.51, 0.9869, -0.0334, 0.1455, -0.0611
17:27:26, 0.50, 15, 17.22, 357.26, 352.48, 0.9866, -0.0334, 0.1478, -0.0612
17:27:26, 0.53, 16, 17.48, 357.28, 352.45, 0.9862, -0.0334, 0.1500, -0.0614
17:27:26, 0.53, 16, 17.70, 357.31, 352.41, 0.9859, -0.0333, 0.1520, -0.0618
17:27:26, 0.53, 16, 17.96, 357.37, 352.37, 0.9855, -0.0330, 0.1542, -0.0622
17:27:26, 0.57, 17, 18.16, 357.40, 352.34, 0.9853, -0.0329, 0.1559, -0.0623
17:27:26, 0.57, 17, 18.38, 357.46, 352.31, 0.9849, -0.0325, 0.1579, -0.0626
17:27:26, 0.60, 18, 18.56, 357.51, 352.28, 0.9847, -0.0322, 0.1594, -0.0629
17:27:26, 0.60, 18, 18.75, 357.56, 352.22, 0.9844, -0.0320, 0.1610, -0.0635
17:27:26, 0.60, 18, 18.88, 357.59, 352.18, 0.9842, -0.0319, 0.1622, -0.0638
17:27:26, 0.63, 19, 18.99, 357.64, 352.16, 0.9840, -0.0315, 0.1631, -0.0641
17:27:26, 0.63, 19, 19.05, 357.68, 352.09, 0.9839, -0.0314, 0.1637, -0.0646
17:27:26, 0.67, 20, 19.10, 357.69, 352.04, 0.9838, -0.0313, 0.1641, -0.0651
17:27:26, 0.67, 20, 19.13, 357.74, 352.00, 0.9837, -0.0310, 0.1644, -0.0655
17:27:26, 0.70, 21, 19.13, 357.76, 351.93, 0.9837, -0.0309, 0.1644, -0.0661
17:27:26, 0.70, 21, 19.17, 357.77, 351.89, 0.9836, -0.0309, 0.1647, -0.0665
