Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
18:52:07, 0.00, 0, 16.32, 5.07, 351.95, -0.9860, -0.0337, -0.1446, 0.0757
18:52:07, 0.03, 1, 16.42, 5.05, 351.97, -0.9859, -0.0335, -0.1454, 0.0755
18:52:07, 0.03, 1, 16.53, 5.02, 351.97, -0.9858, -0.0332, -0.1463, 0.0755
18:52:07, 0.03, 1, 16.64, 5.01, 352.00, -0.9857, -0.0330, -0.1472, 0.0753
18:52:07, 0.07, 2, 16.76, 4.98, 352.03, -0.9856, -0.0328, -0.1482, 0.0750
18:52:07, 0.07, 2, 16.90, 4.96, 352.04, -0.9854, -0.0325, -0.1495, 0.0750
18:52:07, 0.07, 2, 17.05, 4.98, 352.06, -0.9852, -0.0326, -0.1508, 0.0749
18:52:07, 0.10, 3, 17.21, 4.99, 352.03, -0.9850, -0.0326, -0.1521, 0.0751
18:52:07, 0.10, 3, 17.38, 4.99, 352.06, -0.9848, -0.0325, -0.1536, 0.0749
18:52:07, 0.13, 4, 17.55, 4.97, 352.08, -0.9845, -0.0322, -0.1550, 0.0748
18:52:07, 0.13, 4, 17.76, 4.96, 352.09, -0.9843, -0.0320, -0.1568, 0.0747
18:52:07, 0.17, 5, 17.98, 4.93, 352.12, -0.9840, -0.0317, -0.1586, 0.0745
18:52:07, 0.17, 5, 18.17, 4.95, 352.13, -0.9837, -0.0317, -0.1603, 0.0745
18:52:07, 0.17, 5, 18.37, 4.93, 352.12, -0.9835, -0.0314, -0.1620, 0.0746
18:52:07, 0.20, 6, 18.59, 4.92, 352.15, -0.9832, -0.0312, -0.1639, 0.0744
18:52:07, 0.20, 6, 18.80, 4.91, 352.17, -0.9829, -0.0310, -0.1657, 0.0743
18:52:07, 0.23, 7, 19.02, 4.88, 352.21, -0.9826, -0.0307, -0.1675, 0.0740
18:52:07, 0.23, 7, 19.21, 4.92, 352.19, -0.9823, -0.0309, -0.1692, 0.0742
18:52:07, 0.23, 7, 19.43, 4.93, 352.20, -0.9820, -0.0308, -0.1711, 0.0742
18:52:07, 0.27, 8, 19.65, 4.92, 352.20, -0.9816, -0.0306, -0.1730, 0.0742
18:52:07, 0.27, 8, 19.86, 4.90, 352.21, -0.9813, -0.0303, -0.1747, 0.0742
18:52:07, 0.30, 9, 20.07, 4.89, 352.23, -0.9810, -0.0301, -0.1766, 0.0741
18:52:07, 0.30, 9, 20.28, 4.88, 352.25, -0.9807, -0.0299, -0.1783, 0.0740
18:52:07, 0.33, 10, 20.49, 4.90, 352.24, -0.9804, -0.0300, -0.1802, 0.0741
18:52:07, 0.33, 10, 20.70, 4.88, 352.25, -0.9801, -0.0297, -0.1819, 0.0741
18:52:07, 0.33, 10, 20.91, 4.85, 352.27, -0.9798, -0.0293, -0.1837, 0.0739
18:52:07, 0.37, 11, 21.14, 4.83, 352.29, -0.9794, -0.0290, -0.1856, 0.0738
18:52:07, 0.37, 11, 21.31, 4.82, 352.31, -0.9792, -0.0288, -0.1871, 0.0736
18:52:07, 0.40, 12, 21.55, 4.81, 352.32, -0.9788, -0.0286, -0.1891, 0.0735
18:52:07, 0.40, 12, 21.74, 4.78, 352.33, -0.9785, -0.0282, -0.1907, 0.0735
18:52:07, 0.40, 12, 21.97, 4.79, 352.36, -0.9781, -0.0282, -0.1927, 0.0733
18:52:07, 0.43, 13, 22.19, 4.79, 352.39, -0.9777, -0.0281, -0.1946, 0.0731
