Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
11:46:15, 0.00, 0, 342.75, 354.16, 3.51, 0.9872, -0.0549, -0.1482, 0.0226
11:46:15, 0.03, 1, 343.93, 354.01, 3.58, 0.9886, -0.0561, -0.1379, 0.0236
11:46:15, 0.07, 2, 344.31, 353.90, 3.58, 0.9890, -0.0570, -0.1346, 0.0236
11:46:15, 0.07, 2, 344.70, 353.89, 3.55, 0.9894, -0.0569, -0.1313, 0.0235
11:46:15, 0.10, 3, 345.11, 353.89, 3.54, 0.9899, -0.0568, -0.1277, 0.0236
11:46:15, 0.10, 3, 345.46, 353.79, 3.56, 0.9902, -0.0577, -0.1247, 0.0239
11:46:15, 0.10, 3, 345.84, 353.77, 3.53, 0.9906, -0.0577, -0.1214, 0.0238
11:46:15, 0.13, 4, 346.29, 353.77, 3.51, 0.9911, -0.0576, -0.1175, 0.0238
11:46:15, 0.13, 4, 346.73, 353.74, 3.52, 0.9915, -0.0578, -0.1137, 0.0241
11:46:15, 0.17, 5, 347.21, 353.77, 3.53, 0.9920, -0.0574, -0.1095, 0.0245
11:46:15, 0.17, 5, 347.57, 353.80, 3.57, 0.9924, -0.0571, -0.1064, 0.0251
11:46:15, 0.17, 5, 347.94, 353.63, 3.55, 0.9926, -0.0585, -0.1031, 0.0249
11:46:15, 0.20, 6, 348.33, 353.55, 3.54, 0.9930, -0.0591, -0.0997, 0.0249
11:46:15, 0.20, 6, 348.74, 353.48, 3.51, 0.9933, -0.0596, -0.0962, 0.0248
11:46:15, 0.23, 7, 349.08, 353.32, 3.45, 0.9935, -0.0608, -0.0932, 0.0243
11:46:15, 0.23, 7, 349.43, 353.20, 3.48, 0.9937, -0.0618, -0.0901, 0.0247
11:46:15, 0.23, 7, 349.76, 353.08, 3.52, 0.9939, -0.0629, -0.0872, 0.0252
11:46:15, 0.27, 8, 350.12, 352.92, 3.54, 0.9941, -0.0642, -0.0840, 0.0254
11:46:15, 0.27, 8, 350.32, 352.85, 3.48, 0.9942, -0.0647, -0.0823, 0.0250
11:46:15, 0.30, 9, 350.61, 352.82, 3.44, 0.9944, -0.0648, -0.0798, 0.0247
11:46:15, 0.30, 9, 350.80, 352.87, 3.38, 0.9946, -0.0643, -0.0782, 0.0244
11:46:15, 0.33, 10, 350.92, 352.85, 3.32, 0.9946, -0.0644, -0.0772, 0.0239
11:46:15, 0.33, 10, 351.05, 352.78, 3.30, 0.9947, -0.0650, -0.0761, 0.0237
11:46:15, 0.33, 10, 351.14, 352.70, 3.20, 0.9947, -0.0656, -0.0753, 0.0229
11:46:15, 0.37, 11, 351.20, 352.66, 3.16, 0.9948, -0.0659, -0.0748, 0.0225
11:46:15, 0.37, 11, 351.23, 352.63, 3.14, 0.9948, -0.0661, -0.0745, 0.0224
11:46:15, 0.40, 12, 351.22, 352.62, 3.09, 0.9948, -0.0662, -0.0747, 0.0219
11:46:15, 0.40, 12, 351.26, 352.69, 3.02, 0.9948, -0.0656, -0.0744, 0.0214
11:46:15, 0.43, 13, 351.29, 352.72, 3.01, 0.9949, -0.0652, -0.0741, 0.0213
11:46:15, 0.43, 13, 351.36, 352.74, 2.99, 0.9949, -0.0651, -0.0735, 0.0212
11:46:15, 0.43, 13, 351.43, 352.68, 2.96, 0.9950, -0.0656, -0.0729, 0.0209
11:46:15, 0.47, 14, 351.55, 352.64, 2.96, 0.9950, -0.0659, -0.0718, 0.0210
11:46:15, 0.47, 14, 351.68, 352.63, 2.97, 0.9951, -0.0660, -0.0707, 0.0211
11:46:15, 0.50, 15, 351.80, 352.62, 2.92, 0.9952, -0.0660, -0.0697, 0.0208
11:46:15, 0.50, 15, 351.93, 352.63, 2.90, 0.9953, -0.0658, -0.0686, 0.0207
11:46:15, 0.50, 15, 352.07, 352.62, 2.87, 0.9953, -0.0659, -0.0673, 0.0205
11:46:15, 0.53, 16, 352.22, 352.57, 2.82, 0.9954, -0.0663, -0.0661, 0.0201
11:46:15, 0.53, 16, 352.38, 352.52, 2.82, 0.9955, -0.0667, -0.0647, 0.0202
11:46:15, 0.57, 17, 352.55, 352.50, 2.80, 0.9956, -0.0669, -0.0633, 0.0201
11:46:15, 0.57, 17, 352.67, 352.48, 2.82, 0.9956, -0.0670, -0.0622, 0.0203
11:46:15, 0.60, 18, 352.75, 352.43, 2.80, 0.9956, -0.0674, -0.0614, 0.0202
11:46:15, 0.60, 18, 352.88, 352.41, 2.76, 0.9957, -0.0676, -0.0603, 0.0199
11:46:15, 0.60, 18, 353.00, 352.33, 2.69, 0.9957, -0.0682, -0.0593, 0.0193
11:46:15, 0.63, 19, 353.17, 352.28, 2.61, 0.9958, -0.0685, -0.0579, 0.0186
