Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
13:37:14, 0.00, 0, 358.66, 355.60, 2.36, 0.9990, -0.0386, -0.0109, 0.0201
13:37:14, 0.03, 1, 359.20, 355.64, 2.09, 0.9991, -0.0381, -0.0063, 0.0180
13:37:14, 0.03, 1, 359.66, 355.76, 1.90, 0.9992, -0.0370, -0.0024, 0.0164
13:37:14, 0.03, 1, 0.18, 355.81, 1.73, 0.9992, -0.0365, 0.0021, 0.0152
13:37:14, 0.07, 2, 0.70, 356.02, 1.59, 0.9993, -0.0347, 0.0066, 0.0141
13:37:14, 0.07, 2, 1.18, 356.21, 1.52, 0.9993, -0.0329, 0.0107, 0.0136
13:37:14, 0.10, 3, 1.58, 356.33, 1.56, 0.9993, -0.0318, 0.0142, 0.0141
13:37:14, 0.10, 3, 1.86, 356.53, 1.72, 0.9993, -0.0300, 0.0167, 0.0155
13:37:15, 0.10, 3, 2.13, 356.77, 1.89, 0.9993, -0.0279, 0.0191, 0.0170
13:37:15, 0.13, 4, 2.27, 356.86, 2.14, 0.9992, -0.0270, 0.0203, 0.0192
13:37:15, 0.13, 4, 2.38, 357.03, 2.29, 0.9992, -0.0255, 0.0213, 0.0205
13:37:15, 0.17, 5, 2.48, 357.11, 2.43, 0.9992, -0.0248, 0.0222, 0.0217
13:37:15, 0.17, 5, 2.55, 357.17, 2.53, 0.9992, -0.0242, 0.0228, 0.0226
13:37:15, 0.17, 5, 2.61, 357.25, 2.54, 0.9992, -0.0235, 0.0233, 0.0227
13:37:15, 0.20, 6, 2.63, 357.32, 2.55, 0.9992, -0.0229, 0.0235, 0.0228
13:37:15, 0.20, 6, 2.63, 357.50, 2.55, 0.9992, -0.0213, 0.0234, 0.0228
13:37:15, 0.23, 7, 2.61, 357.72, 2.54, 0.9993, -0.0193, 0.0232, 0.0226
13:37:15, 0.23, 7, 2.58, 357.89, 2.53, 0.9993, -0.0179, 0.0229, 0.0225
13:37:15, 0.23, 7, 2.58, 357.94, 2.49, 0.9993, -0.0175, 0.0229, 0.0221
13:37:15, 0.27, 8, 2.58, 357.92, 2.45, 0.9993, -0.0176, 0.0229, 0.0218
13:37:15, 0.27, 8, 2.56, 357.92, 2.43, 0.9994, -0.0176, 0.0227, 0.0216
13:37:15, 0.30, 9, 2.56, 357.99, 2.42, 0.9994, -0.0171, 0.0227, 0.0215
13:37:15, 0.30, 9, 2.53, 358.07, 2.44, 0.9994, -0.0163, 0.0224, 0.0216
13:37:15, 0.33, 10, 2.51, 358.11, 2.45, 0.9994, -0.0160, 0.0222, 0.0217
13:37:15, 0.33, 10, 2.50, 358.09, 2.43, 0.9994, -0.0162, 0.0221, 0.0216
13:37:15, 0.33, 10, 2.49, 358.08, 2.45, 0.9994, -0.0163, 0.0221, 0.0217
13:37:15, 0.37, 11, 2.52, 358.07, 2.46, 0.9994, -0.0164, 0.0223, 0.0218
13:37:15, 0.37, 11, 2.56, 358.09, 2.47, 0.9994, -0.0162, 0.0227, 0.0219
13:37:15, 0.40, 12, 2.58, 358.10, 2.51, 0.9994, -0.0161, 0.0228, 0.0223
13:37:15, 0.40, 12, 2.61, 358.15, 2.54, 0.9994, -0.0156, 0.0232, 0.0225
