Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
17:31:28, 0.03, 1, 1.04, 353.36, 0.17, 0.9983, -0.0579, 0.0091, 0.0020
17:31:28, 0.03, 1, 2.87, 353.24, 359.92, 0.9979, -0.0589, 0.0250, 0.0008
17:31:28, 0.03, 1, 3.75, 353.23, 359.77, 0.9977, -0.0591, 0.0325, -0.0001
17:31:28, 0.07, 2, 4.64, 353.21, 359.65, 0.9974, -0.0593, 0.0402, -0.0006
17:31:28, 0.07, 2, 5.56, 353.26, 359.56, 0.9971, -0.0589, 0.0482, -0.0010
17:31:28, 0.07, 2, 6.48, 353.31, 359.41, 0.9967, -0.0586, 0.0561, -0.0019
17:31:28, 0.10, 3, 7.19, 353.34, 359.36, 0.9964, -0.0584, 0.0623, -0.0019
17:31:28, 0.10, 3, 7.97, 353.34, 359.29, 0.9959, -0.0584, 0.0690, -0.0022
17:31:28, 0.13, 4, 8.82, 353.34, 359.22, 0.9954, -0.0584, 0.0764, -0.0023
17:31:28, 0.13, 4, 9.47, 353.45, 359.16, 0.9950, -0.0575, 0.0820, -0.0026
17:31:28, 0.17, 5, 10.11, 353.54, 359.15, 0.9945, -0.0568, 0.0876, -0.0025
17:31:28, 0.17, 5, 10.67, 353.56, 359.17, 0.9941, -0.0566, 0.0924, -0.0020
17:31:28, 0.17, 5, 11.16, 353.66, 359.21, 0.9938, -0.0557, 0.0967, -0.0015
17:31:29, 0.20, 6, 11.65, 353.72, 359.25, 0.9934, -0.0552, 0.1009, -0.0009
17:31:29, 0.20, 6, 12.05, 353.78, 359.32, 0.9930, -0.0546, 0.1045, -0.0002
17:31:29, 0.23, 7, 12.50, 353.91, 359.32, 0.9927, -0.0534, 0.1084, -0.0001
17:31:29, 0.23, 7, 12.87, 354.01, 359.30, 0.9924, -0.0526, 0.1116, -0.0002
17:31:29, 0.27, 8, 13.29, 354.13, 359.24, 0.9920, -0.0517, 0.1152, -0.0007
17:31:29, 0.27, 8, 13.72, 354.20, 359.27, 0.9916, -0.0510, 0.1190, -0.0003
17:31:29, 0.27, 8, 14.08, 354.35, 359.35, 0.9913, -0.0496, 0.1221, 0.0005
17:31:29, 0.30, 9, 14.49, 354.40, 359.39, 0.9908, -0.0491, 0.1257, 0.0009
17:31:29, 0.30, 9, 14.91, 354.44, 359.46, 0.9904, -0.0487, 0.1294, 0.0016
17:31:29, 0.33, 10, 15.37, 354.50, 359.48, 0.9899, -0.0482, 0.1334, 0.0019
17:31:29, 0.33, 10, 15.77, 354.56, 359.46, 0.9895, -0.0476, 0.1368, 0.0019
17:31:29, 0.33, 10, 16.24, 354.54, 359.44, 0.9889, -0.0479, 0.1408, 0.0019
17:31:29, 0.37, 11, 16.64, 354.51, 359.41, 0.9884, -0.0481, 0.1443, 0.0019
17:31:29, 0.37, 11, 17.10, 354.53, 359.37, 0.9878, -0.0480, 0.1483, 0.0017
17:31:29, 0.40, 12, 17.49, 354.56, 359.33, 0.9873, -0.0478, 0.1516, 0.0015
17:31:29, 0.40, 12, 17.88, 354.53, 359.34, 0.9868, -0.0480, 0.1549, 0.0017
17:31:29, 0.43, 13, 18.26, 354.54, 359.35, 0.9862, -0.0479, 0.1582, 0.0019
17:31:29, 0.43, 13, 18.57, 354.62, 359.37, 0.9858, -0.0472, 0.1609, 0.0022
17:31:29, 0.43, 13, 18.94, 354.64, 359.35, 0.9853, -0.0471, 0.1641, 0.0021
17:31:29, 0.47, 14, 19.27, 354.66, 359.32, 0.9849, -0.0470, 0.1669, 0.0020
17:31:29, 0.47, 14, 19.55, 354.65, 359.28, 0.9844, -0.0470, 0.1693, 0.0017
17:31:29, 0.50, 15, 19.84, 354.71, 359.23, 0.9840, -0.0466, 0.1718, 0.0014
17:31:29, 0.50, 15, 20.12, 354.74, 359.20, 0.9836, -0.0464, 0.1742, 0.0012
17:31:29, 0.50, 15, 20.39, 354.86, 359.17, 0.9833, -0.0454, 0.1765, 0.0009
17:31:29, 0.53, 16, 20.63, 354.96, 359.11, 0.9829, -0.0446, 0.1785, 0.0003
17:31:29, 0.53, 16, 20.87, 355.01, 359.04, 0.9826, -0.0443, 0.1805, -0.0003
17:31:29, 0.57, 17, 21.13, 355.09, 358.99, 0.9822, -0.0438, 0.1828, -0.0008
17:31:29, 0.57, 17, 21.33, 355.20, 358.94, 0.9819, -0.0428, 0.1845, -0.0013
