Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
19:03:24, 0.00, 0, 37.39, 16.47, 5.92, 0.9386, 0.1518, 0.3098, 0.0026
19:03:24, 0.03, 1, 37.47, 16.60, 5.89, 0.9382, 0.1529, 0.3104, 0.0018
19:03:24, 0.07, 2, 37.50, 16.69, 5.88, 0.9381, 0.1536, 0.3106, 0.0014
19:03:24, 0.07, 2, 37.56, 16.91, 5.84, 0.9377, 0.1553, 0.3109, 0.0005
19:03:24, 0.07, 2, 37.53, 17.01, 5.86, 0.9376, 0.1561, 0.3106, 0.0003
19:03:24, 0.10, 3, 37.50, 17.07, 5.85, 0.9376, 0.1566, 0.3103, 0.0001
19:03:24, 0.10, 3, 37.48, 17.11, 5.87, 0.9377, 0.1570, 0.3101, 0.0002
19:03:24, 0.13, 4, 37.43, 17.17, 5.83, 0.9377, 0.1573, 0.3096, -0.0002
19:03:24, 0.13, 4, 37.36, 17.29, 5.84, 0.9378, 0.1583, 0.3090, -0.0004
19:03:24, 0.13, 4, 37.31, 17.41, 5.85, 0.9378, 0.1593, 0.3085, -0.0006
19:03:24, 0.17, 5, 37.24, 17.60, 5.89, 0.9378, 0.1610, 0.3077, -0.0007
19:03:24, 0.17, 5, 37.17, 17.82, 5.92, 0.9377, 0.1629, 0.3069, -0.0009
19:03:24, 0.20, 6, 37.11, 18.05, 5.95, 0.9376, 0.1649, 0.3062, -0.0013
19:03:24, 0.20, 6, 37.05, 18.35, 5.97, 0.9374, 0.1673, 0.3053, -0.0019
19:03:24, 0.23, 7, 37.00, 18.67, 6.02, 0.9372, 0.1700, 0.3046, -0.0022
19:03:24, 0.23, 7, 36.97, 19.02, 6.09, 0.9368, 0.1731, 0.3040, -0.0026
19:03:24, 0.27, 8, 36.97, 19.42, 6.16, 0.9363, 0.1765, 0.3035, -0.0032
19:03:24, 0.27, 8, 37.00, 19.83, 6.19, 0.9358, 0.1799, 0.3033, -0.0041
19:03:24, 0.27, 8, 37.01, 20.32, 6.21, 0.9351, 0.1840, 0.3029, -0.0054
19:03:24, 0.30, 9, 37.05, 20.81, 6.22, 0.9343, 0.1880, 0.3027, -0.0067
19:03:24, 0.30, 9, 37.08, 21.34, 6.32, 0.9336, 0.1925, 0.3023, -0.0074
19:03:24, 0.33, 10, 37.10, 21.85, 6.29, 0.9328, 0.1965, 0.3021, -0.0092
