Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
19:06:18, 0.00, 0, 92.11, 359.66, 358.90, 0.6939, -0.0089, 0.7200, -0.0046
19:06:18, 0.03, 1, 92.43, 359.71, 358.89, 0.6920, -0.0087, 0.7219, -0.0049
19:06:18, 0.03, 1, 92.78, 359.79, 358.90, 0.6897, -0.0082, 0.7240, -0.0053
19:06:18, 0.03, 1, 93.09, 359.90, 358.91, 0.6878, -0.0075, 0.7259, -0.0059
19:06:18, 0.07, 2, 93.41, 359.98, 358.91, 0.6857, -0.0070, 0.7278, -0.0064
19:06:18, 0.07, 2, 93.69, 0.09, 358.95, 0.6840, -0.0062, 0.7295, -0.0069
19:06:18, 0.10, 3, 94.04, 0.24, 358.93, 0.6817, -0.0054, 0.7316, -0.0079
19:06:18, 0.10, 3, 94.36, 0.37, 358.91, 0.6796, -0.0048, 0.7335, -0.0088
19:06:18, 0.10, 3, 94.68, 0.64, 358.93, 0.6776, -0.0031, 0.7354, -0.0104
19:06:18, 0.13, 4, 94.96, 0.87, 358.89, 0.6757, -0.0020, 0.7371, -0.0121
19:06:18, 0.13, 4, 95.24, 1.23, 358.94, 0.6739, 0.0004, 0.7387, -0.0142
19:06:18, 0.17, 5, 95.51, 1.71, 358.95, 0.6721, 0.0032, 0.7403, -0.0172
19:06:18, 0.17, 5, 95.75, 2.27, 359.04, 0.6705, 0.0071, 0.7416, -0.0204
19:06:18, 0.17, 5, 95.96, 2.77, 359.10, 0.6690, 0.0104, 0.7428, -0.0232
19:06:18, 0.20, 6, 96.23, 3.24, 359.17, 0.6672, 0.0134, 0.7443, -0.0259
19:06:18, 0.20, 6, 96.50, 3.60, 359.22, 0.6654, 0.0158, 0.7458, -0.0280
19:06:18, 0.23, 7, 96.75, 3.95, 359.30, 0.6637, 0.0183, 0.7472, -0.0298
19:06:18, 0.23, 7, 97.02, 4.22, 359.41, 0.6619, 0.0206, 0.7487, -0.0310
19:06:18, 0.23, 7, 97.34, 4.52, 359.44, 0.6597, 0.0223, 0.7505, -0.0329
19:06:18, 0.27, 8, 97.63, 4.79, 359.53, 0.6578, 0.0244, 0.7521, -0.0341
19:06:18, 0.27, 8, 97.91, 5.01, 359.67, 0.6559, 0.0265, 0.7535, -0.0349
19:06:18, 0.30, 9, 98.22, 5.21, 359.74, 0.6539, 0.0280, 0.7552, -0.0359
19:06:19, 0.30, 9, 98.45, 5.40, 359.84, 0.6523, 0.0297, 0.7565, -0.0366
19:06:19, 0.33, 10, 98.70, 5.44, 359.85, 0.6507, 0.0299, 0.7579, -0.0368
19:06:19, 0.33, 10, 98.93, 5.50, 359.91, 0.6491, 0.0306, 0.7591, -0.0370
19:06:19, 0.33, 10, 99.14, 5.47, 359.95, 0.6477, 0.0306, 0.7604, -0.0367
19:06:19, 0.37, 11, 99.30, 5.35, 359.96, 0.6467, 0.0300, 0.7613, -0.0358
19:06:19, 0.37, 11, 99.47, 5.22, 359.98, 0.6456, 0.0293, 0.7623, -0.0349
19:06:19, 0.40, 12, 99.63, 5.11, 359.97, 0.6446, 0.0286, 0.7632, -0.0342
19:06:19, 0.40, 12, 99.75, 4.98, 359.96, 0.6438, 0.0277, 0.7639, -0.0335
19:06:19, 0.40, 12, 99.85, 4.86, 359.91, 0.6432, 0.0267, 0.7645, -0.0329
19:06:19, 0.43, 13, 99.93, 4.75, 359.89, 0.6427, 0.0259, 0.7650, -0.0323
19:06:19, 0.43, 13, 100.00, 4.63, 359.86, 0.6422, 0.0250, 0.7654, -0.0318
