Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
19:11:28, 0.00, 0, 9.28, 13.17, 358.24, 0.9899, 0.1130, 0.0821, -0.0245
19:11:28, 0.03, 1, 9.22, 13.16, 358.13, 0.9899, 0.1129, 0.0817, -0.0254
19:11:28, 0.03, 1, 9.17, 13.12, 358.02, 0.9900, 0.1125, 0.0814, -0.0263
19:11:28, 0.03, 1, 9.17, 13.15, 357.89, 0.9899, 0.1127, 0.0815, -0.0274
19:11:28, 0.07, 2, 9.18, 13.14, 357.75, 0.9899, 0.1125, 0.0817, -0.0286
19:11:28, 0.07, 2, 9.19, 13.18, 357.63, 0.9898, 0.1128, 0.0819, -0.0296
19:11:28, 0.10, 3, 9.25, 13.20, 357.51, 0.9897, 0.1128, 0.0826, -0.0308
19:11:28, 0.10, 3, 9.33, 13.26, 357.36, 0.9895, 0.1131, 0.0835, -0.0322
19:11:28, 0.10, 3, 9.42, 13.32, 357.22, 0.9894, 0.1135, 0.0843, -0.0335
19:11:28, 0.13, 4, 9.54, 13.39, 357.06, 0.9892, 0.1141, 0.0856, -0.0350
19:11:28, 0.13, 4, 9.67, 13.48, 356.90, 0.9889, 0.1146, 0.0869, -0.0367
19:11:28, 0.17, 5, 9.83, 13.56, 356.71, 0.9887, 0.1151, 0.0884, -0.0385
19:11:28, 0.17, 5, 9.99, 13.66, 356.51, 0.9884, 0.1158, 0.0900, -0.0404
19:11:28, 0.20, 6, 10.36, 13.87, 356.10, 0.9877, 0.1171, 0.0936, -0.0445
19:11:28, 0.20, 6, 10.55, 13.96, 355.91, 0.9874, 0.1177, 0.0955, -0.0464
19:11:28, 0.23, 7, 10.79, 14.05, 355.70, 0.9870, 0.1182, 0.0978, -0.0485
19:11:28, 0.23, 7, 11.03, 14.17, 355.49, 0.9865, 0.1189, 0.1001, -0.0507
19:11:28, 0.23, 7, 11.25, 14.23, 355.31, 0.9862, 0.1191, 0.1022, -0.0525
19:11:28, 0.27, 8, 11.45, 14.21, 355.08, 0.9859, 0.1187, 0.1042, -0.0547
19:11:29, 0.27, 8, 11.73, 14.23, 354.82, 0.9855, 0.1185, 0.1069, -0.0572
19:11:29, 0.30, 9, 12.00, 14.26, 354.59, 0.9851, 0.1184, 0.1094, -0.0596
19:11:29, 0.30, 9, 12.28, 14.29, 354.37, 0.9847, 0.1183, 0.1121, -0.0618
19:11:29, 0.33, 10, 12.57, 14.37, 354.15, 0.9842, 0.1186, 0.1148, -0.0640
19:11:29, 0.33, 10, 12.86, 14.38, 354.00, 0.9838, 0.1184, 0.1175, -0.0656
19:11:29, 0.33, 10, 13.12, 14.42, 353.88, 0.9834, 0.1185, 0.1198, -0.0669
19:11:29, 0.37, 11, 13.33, 14.56, 353.75, 0.9830, 0.1194, 0.1218, -0.0684
19:11:29, 0.37, 11, 13.62, 14.66, 353.69, 0.9825, 0.1200, 0.1244, -0.0693
19:11:29, 0.40, 12, 13.80, 14.78, 353.64, 0.9821, 0.1209, 0.1260, -0.0701
19:11:29, 0.40, 12, 13.93, 14.88, 353.59, 0.9819, 0.1216, 0.1272, -0.0707
19:11:29, 0.40, 12, 14.06, 14.93, 353.57, 0.9816, 0.1219, 0.1284, -0.0711
19:11:29, 0.43, 13, 14.11, 15.02, 353.61, 0.9815, 0.1227, 0.1288, -0.0708
19:11:29, 0.43, 13, 14.15, 15.03, 353.65, 0.9815, 0.1229, 0.1291, -0.0706
19:11:29, 0.47, 14, 14.17, 15.02, 353.67, 0.9815, 0.1227, 0.1293, -0.0704
19:11:29, 0.47, 14, 14.11, 14.99, 353.71, 0.9816, 0.1225, 0.1287, -0.0700
19:11:29, 0.50, 15, 14.03, 14.93, 353.75, 0.9818, 0.1221, 0.1279, -0.0695
19:11:29, 0.50, 15, 13.94, 14.86, 353.81, 0.9820, 0.1217, 0.1271, -0.0688
19:11:29, 0.50, 15, 13.86, 14.77, 353.89, 0.9822, 0.1211, 0.1263, -0.0679
19:11:29, 0.53, 16, 13.75, 14.73, 353.98, 0.9825, 0.1208, 0.1253, -0.0670
19:11:29, 0.53, 16, 13.67, 14.71, 354.01, 0.9826, 0.1208, 0.1245, -0.0666
19:11:29, 0.57, 17, 13.61, 14.63, 354.14, 0.9828, 0.1202, 0.1238, -0.0654
19:11:29, 0.57, 17, 13.56, 14.57, 354.20, 0.9830, 0.1198, 0.1233, -0.0648
19:11:29, 0.57, 17, 13.52, 14.47, 354.34, 0.9832, 0.1191, 0.1228, -0.0635
19:11:29, 0.60, 18, 13.47, 14.35, 354.44, 0.9835, 0.1182, 0.1222, -0.0624
19:11:29, 0.60, 18, 13.44, 14.23, 354.57, 0.9837, 0.1174, 0.1218, -0.0612
19:11:29, 0.63, 19, 13.41, 14.14, 354.70, 0.9839, 0.1168, 0.1214, -0.0599
19:11:29, 0.63, 19, 13.39, 14.08, 354.79, 0.9840, 0.1163, 0.1211, -0.0590
19:11:29, 0.67, 20, 13.36, 14.01, 354.87, 0.9842, 0.1158, 0.1208, -0.0583
19:11:29, 0.67, 20, 13.32, 13.96, 354.95, 0.9843, 0.1155, 0.1203, -0.0575
