Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
19:17:01, 0.00, 0, 18.06, 3.52, 2.51, 0.9870, 0.0338, 0.1562, 0.0168
19:17:01, 0.03, 1, 18.30, 3.57, 2.40, 0.9867, 0.0341, 0.1582, 0.0157
19:17:01, 0.03, 1, 18.53, 3.69, 2.27, 0.9863, 0.0350, 0.1603, 0.0144
19:17:01, 0.07, 2, 19.02, 3.94, 1.93, 0.9856, 0.0367, 0.1645, 0.0109
19:17:01, 0.07, 2, 19.25, 4.11, 1.78, 0.9853, 0.0380, 0.1665, 0.0093
19:17:01, 0.10, 3, 19.49, 4.29, 1.64, 0.9849, 0.0393, 0.1686, 0.0077
19:17:01, 0.10, 3, 19.65, 4.45, 1.58, 0.9846, 0.0406, 0.1700, 0.0069
19:17:01, 0.10, 3, 19.83, 4.65, 1.53, 0.9843, 0.0423, 0.1715, 0.0062
19:17:01, 0.13, 4, 19.94, 4.83, 1.49, 0.9840, 0.0438, 0.1724, 0.0055
19:17:01, 0.13, 4, 20.06, 4.94, 1.42, 0.9838, 0.0446, 0.1734, 0.0047
19:17:01, 0.17, 5, 20.10, 4.98, 1.38, 0.9837, 0.0448, 0.1739, 0.0043
19:17:01, 0.17, 5, 20.10, 4.95, 1.34, 0.9838, 0.0446, 0.1739, 0.0040
19:17:01, 0.20, 6, 20.08, 4.91, 1.33, 0.9838, 0.0442, 0.1737, 0.0039
19:17:01, 0.20, 6, 20.03, 4.87, 1.28, 0.9839, 0.0438, 0.1732, 0.0036
19:17:01, 0.20, 6, 19.96, 4.83, 1.21, 0.9840, 0.0433, 0.1727, 0.0031
19:17:01, 0.23, 7, 19.86, 4.79, 1.17, 0.9842, 0.0429, 0.1719, 0.0029
19:17:01, 0.23, 7, 19.79, 4.77, 1.11, 0.9843, 0.0427, 0.1713, 0.0024
19:17:01, 0.27, 8, 19.69, 4.79, 1.08, 0.9844, 0.0428, 0.1704, 0.0021
19:17:01, 0.27, 8, 19.60, 4.82, 1.07, 0.9846, 0.0430, 0.1697, 0.0020
19:17:01, 0.27, 8, 19.51, 4.82, 1.05, 0.9847, 0.0430, 0.1689, 0.0019
19:17:01, 0.30, 9, 19.41, 4.86, 1.02, 0.9848, 0.0433, 0.1680, 0.0016
19:17:02, 0.30, 9, 19.34, 4.88, 1.00, 0.9849, 0.0434, 0.1675, 0.0015
19:17:02, 0.33, 10, 19.30, 4.90, 0.97, 0.9850, 0.0436, 0.1671, 0.0012
19:17:02, 0.33, 10, 19.26, 4.91, 0.96, 0.9850, 0.0436, 0.1667, 0.0011
19:17:02, 0.37, 11, 19.28, 4.94, 0.95, 0.9850, 0.0439, 0.1669, 0.0009
19:17:02, 0.37, 11, 19.31, 4.96, 0.95, 0.9849, 0.0440, 0.1672, 0.0009
19:17:02, 0.37, 11, 19.35, 5.01, 0.95, 0.9849, 0.0445, 0.1675, 0.0008
19:17:02, 0.40, 12, 19.39, 5.06, 0.97, 0.9848, 0.0450, 0.1679, 0.0009
19:17:02, 0.40, 12, 19.49, 5.10, 0.98, 0.9846, 0.0453, 0.1687, 0.0009
19:17:02, 0.43, 13, 19.59, 5.15, 0.99, 0.9845, 0.0457, 0.1696, 0.0009
19:17:02, 0.43, 13, 19.71, 5.16, 0.97, 0.9843, 0.0458, 0.1706, 0.0006
19:17:02, 0.43, 13, 19.83, 5.18, 0.97, 0.9841, 0.0459, 0.1717, 0.0005
19:17:02, 0.47, 14, 19.91, 5.18, 0.97, 0.9840, 0.0460, 0.1723, 0.0005
19:17:02, 0.47, 14, 20.02, 5.20, 0.97, 0.9838, 0.0462, 0.1733, 0.0004
19:17:02, 0.50, 15, 20.06, 5.20, 0.99, 0.9837, 0.0461, 0.1736, 0.0006
19:17:02, 0.50, 15, 20.09, 5.22, 0.98, 0.9837, 0.0463, 0.1738, 0.0005
19:17:02, 0.53, 16, 20.09, 5.22, 0.97, 0.9837, 0.0463, 0.1739, 0.0004
19:17:02, 0.53, 16, 20.13, 5.19, 0.98, 0.9836, 0.0460, 0.1742, 0.0005
19:17:02, 0.53, 16, 20.11, 5.18, 0.97, 0.9837, 0.0460, 0.1740, 0.0005
19:17:02, 0.57, 17, 20.11, 5.15, 0.98, 0.9837, 0.0457, 0.1740, 0.0006
19:17:02, 0.57, 17, 20.10, 5.12, 0.99, 0.9837, 0.0455, 0.1739, 0.0007
19:17:02, 0.60, 18, 20.08, 5.12, 1.00, 0.9837, 0.0455, 0.1738, 0.0008
19:17:02, 0.60, 18, 20.06, 5.10, 1.01, 0.9838, 0.0454, 0.1736, 0.0009
19:17:02, 0.60, 18, 20.02, 5.09, 1.04, 0.9838, 0.0453, 0.1732, 0.0012
19:17:02, 0.63, 19, 20.01, 5.06, 1.06, 0.9839, 0.0451, 0.1732, 0.0014
19:17:02, 0.63, 19, 19.99, 5.04, 1.11, 0.9839, 0.0450, 0.1730, 0.0019
19:17:02, 0.67, 20, 19.98, 5.02, 1.14, 0.9839, 0.0448, 0.1728, 0.0022
19:17:02, 0.67, 20, 19.96, 4.99, 1.19, 0.9840, 0.0447, 0.1727, 0.0027
19:17:02, 0.70, 21, 19.93, 5.01, 1.23, 0.9840, 0.0449, 0.1724, 0.0030
19:17:02, 0.70, 21, 19.90, 5.01, 1.27, 0.9840, 0.0449, 0.1721, 0.0034
19:17:02, 0.70, 21, 19.88, 5.01, 1.30, 0.9841, 0.0450, 0.1720, 0.0036
19:17:02, 0.73, 22, 19.83, 5.00, 1.36, 0.9841, 0.0450, 0.1715, 0.0041
19:17:02, 0.73, 22, 19.80, 4.96, 1.36, 0.9842, 0.0447, 0.1713, 0.0043
19:17:02, 0.77, 23, 19.78, 4.95, 1.36, 0.9842, 0.0446, 0.1711, 0.0042
19:17:02, 0.77, 23, 19.75, 4.93, 1.32, 0.9843, 0.0443, 0.1709, 0.0040
19:17:02, 0.77, 23, 19.75, 4.94, 1.29, 0.9843, 0.0444, 0.1708, 0.0037
19:17:02, 0.80, 24, 19.76, 4.94, 1.30, 0.9843, 0.0444, 0.1709, 0.0038
19:17:02, 0.80, 24, 19.74, 4.95, 1.30, 0.9843, 0.0445, 0.1708, 0.0037
19:17:02, 0.83, 25, 19.76, 4.93, 1.30, 0.9843, 0.0443, 0.1709, 0.0038
19:17:02, 0.83, 25, 19.78, 4.90, 1.29, 0.9843, 0.0440, 0.1712, 0.0037
19:17:02, 0.87, 26, 19.89, 4.80, 1.28, 0.9841, 0.0431, 0.1721, 0.0038
19:17:02, 0.87, 26, 20.06, 4.68, 1.26, 0.9839, 0.0421, 0.1736, 0.0037
19:17:02, 0.87, 26, 20.35, 4.46, 1.30, 0.9835, 0.0403, 0.1761, 0.0043
19:17:02, 0.90, 27, 20.77, 4.19, 1.34, 0.9830, 0.0381, 0.1797, 0.0049
19:17:02, 0.90, 27, 21.31, 3.84, 1.41, 0.9822, 0.0352, 0.1843, 0.0059
19:17:02, 0.93, 28, 21.96, 3.50, 1.52, 0.9812, 0.0325, 0.1900, 0.0072
19:17:02, 0.93, 28, 22.54, 3.14, 1.58, 0.9803, 0.0296, 0.1950, 0.0082
19:17:02, 0.93, 28, 23.21, 2.81, 1.67, 0.9792, 0.0269, 0.2007, 0.0093
19:17:02, 0.97, 29, 23.81, 2.50, 1.72, 0.9782, 0.0244, 0.2059, 0.0102
19:17:02, 0.97, 29, 24.44, 2.18, 1.79, 0.9771, 0.0219, 0.2113, 0.0112
19:17:02, 1.00, 30, 25.00, 1.95, 1.87, 0.9761, 0.0201, 0.2161, 0.0123
19:17:02, 1.00, 30, 25.53, 1.66, 1.91, 0.9751, 0.0178, 0.2207, 0.0131
