Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
19:48:54, 0.00, 0, 15.50, 1.29, 357.36, 0.9905, 0.0080, 0.1351, -0.0243
19:48:54, 0.03, 1, 15.54, 1.31, 357.37, 0.9905, 0.0082, 0.1354, -0.0243
19:48:54, 0.03, 1, 15.59, 1.30, 357.36, 0.9904, 0.0081, 0.1358, -0.0244
19:48:54, 0.03, 1, 15.63, 1.30, 357.34, 0.9903, 0.0081, 0.1362, -0.0245
19:48:54, 0.07, 2, 15.68, 1.28, 357.33, 0.9903, 0.0079, 0.1366, -0.0246
19:48:54, 0.07, 2, 15.73, 1.30, 357.32, 0.9902, 0.0080, 0.1370, -0.0248
19:48:54, 0.07, 2, 15.77, 1.30, 357.30, 0.9902, 0.0080, 0.1374, -0.0249
19:48:54, 0.10, 3, 15.79, 1.27, 357.33, 0.9902, 0.0078, 0.1376, -0.0246
19:48:54, 0.10, 3, 15.83, 1.23, 357.38, 0.9901, 0.0075, 0.1379, -0.0242
19:48:54, 0.13, 4, 15.87, 1.19, 357.40, 0.9901, 0.0071, 0.1382, -0.0239
19:48:54, 0.13, 4, 15.89, 1.16, 357.41, 0.9901, 0.0069, 0.1384, -0.0238
19:48:54, 0.13, 4, 15.89, 1.13, 357.45, 0.9901, 0.0067, 0.1384, -0.0234
19:48:54, 0.17, 5, 15.88, 1.10, 357.45, 0.9901, 0.0064, 0.1383, -0.0234
19:48:54, 0.17, 5, 15.86, 1.09, 357.43, 0.9901, 0.0063, 0.1381, -0.0236
19:48:54, 0.20, 6, 15.81, 1.09, 357.36, 0.9902, 0.0063, 0.1377, -0.0241
19:48:54, 0.20, 6, 15.79, 1.08, 357.34, 0.9902, 0.0061, 0.1375, -0.0243
19:48:54, 0.20, 6, 15.74, 1.12, 357.33, 0.9902, 0.0065, 0.1371, -0.0244
19:48:54, 0.23, 7, 15.70, 1.11, 357.31, 0.9903, 0.0064, 0.1368, -0.0246
19:48:54, 0.23, 7, 15.69, 1.12, 357.25, 0.9903, 0.0064, 0.1366, -0.0251
19:48:54, 0.27, 8, 15.64, 1.11, 357.24, 0.9903, 0.0063, 0.1363, -0.0251
19:48:54, 0.27, 8, 15.65, 1.09, 357.20, 0.9903, 0.0061, 0.1363, -0.0255
19:48:54, 0.30, 9, 15.65, 1.10, 357.21, 0.9903, 0.0062, 0.1364, -0.0254
19:48:54, 0.30, 9, 15.65, 1.12, 357.20, 0.9903, 0.0064, 0.1364, -0.0255
19:48:54, 0.30, 9, 15.68, 1.12, 357.22, 0.9903, 0.0063, 0.1366, -0.0254
19:48:54, 0.33, 10, 15.71, 1.13, 357.21, 0.9902, 0.0065, 0.1369, -0.0254
19:48:54, 0.33, 10, 15.73, 1.14, 357.23, 0.9902, 0.0065, 0.1371, -0.0253
19:48:54, 0.37, 11, 15.77, 1.18, 357.23, 0.9902, 0.0069, 0.1374, -0.0254
19:48:54, 0.37, 11, 15.82, 1.16, 357.19, 0.9901, 0.0066, 0.1378, -0.0257
19:48:54, 0.40, 12, 15.84, 1.14, 357.12, 0.9901, 0.0064, 0.1380, -0.0262
19:48:54, 0.40, 12, 15.87, 1.11, 357.15, 0.9900, 0.0061, 0.1383, -0.0260
19:48:54, 0.40, 12, 15.90, 1.08, 357.14, 0.9900, 0.0059, 0.1385, -0.0260
19:48:54, 0.43, 13, 15.91, 1.07, 357.13, 0.9900, 0.0058, 0.1386, -0.0261
19:48:54, 0.43, 13, 15.89, 1.05, 357.11, 0.9900, 0.0056, 0.1384, -0.0263
19:48:54, 0.47, 14, 15.86, 1.08, 357.08, 0.9900, 0.0058, 0.1382, -0.0265
19:48:54, 0.47, 14, 15.86, 1.11, 357.03, 0.9900, 0.0061, 0.1381, -0.0270
19:48:54, 0.50, 15, 15.86, 1.17, 356.99, 0.9900, 0.0065, 0.1381, -0.0274
19:48:54, 0.50, 15, 15.82, 1.16, 356.98, 0.9901, 0.0064, 0.1378, -0.0275
19:48:54, 0.50, 15, 15.81, 1.13, 356.99, 0.9901, 0.0061, 0.1377, -0.0274
19:48:54, 0.53, 16, 15.80, 1.11, 356.94, 0.9901, 0.0059, 0.1377, -0.0278
19:48:54, 0.53, 16, 15.79, 1.03, 356.88, 0.9901, 0.0052, 0.1376, -0.0282
19:48:55, 0.57, 17, 15.83, 0.96, 356.85, 0.9900, 0.0045, 0.1379, -0.0284
19:48:55, 0.57, 17, 15.87, 0.93, 356.80, 0.9900, 0.0042, 0.1382, -0.0288
19:48:55, 0.57, 17, 15.92, 0.92, 356.78, 0.9899, 0.0040, 0.1386, -0.0290
19:48:55, 0.60, 18, 15.96, 0.90, 356.81, 0.9899, 0.0039, 0.1390, -0.0287
