Timestamp, VideoTime, VideoFrame, HeadYaw, HeadPitch, HeadRoll, HeadQuatW, HeadQuatX, HeadQuatY, HeadQuatZ
16:15:51, 0.00, 0, 1.31, 344.37, 344.64, 0.9820, -0.1363, -0.0069, -0.1309
16:15:51, 0.03, 1, 1.55, 344.35, 344.67, 0.9820, -0.1367, -0.0049, -0.1303
16:15:51, 0.03, 1, 1.77, 344.35, 344.70, 0.9820, -0.1370, -0.0030, -0.1298
16:15:51, 0.03, 1, 1.99, 344.35, 344.73, 0.9821, -0.1372, -0.0010, -0.1292
16:15:51, 0.07, 2, 2.22, 344.35, 344.78, 0.9821, -0.1375, 0.0010, -0.1286
16:15:51, 0.07, 2, 2.43, 344.32, 344.80, 0.9821, -0.1380, 0.0028, -0.1281
16:15:51, 0.10, 3, 2.64, 344.30, 344.86, 0.9822, -0.1384, 0.0046, -0.1273
16:15:51, 0.10, 3, 2.85, 344.28, 344.92, 0.9822, -0.1387, 0.0065, -0.1266
16:15:51, 0.10, 3, 3.01, 344.29, 344.94, 0.9822, -0.1389, 0.0079, -0.1262
16:15:51, 0.13, 4, 3.19, 344.31, 345.00, 0.9823, -0.1389, 0.0095, -0.1255
16:15:51, 0.13, 4, 3.35, 344.34, 345.06, 0.9824, -0.1388, 0.0110, -0.1248
16:15:51, 0.17, 5, 3.51, 344.37, 345.10, 0.9824, -0.1387, 0.0125, -0.1243
16:15:51, 0.17, 5, 3.66, 344.39, 345.16, 0.9825, -0.1387, 0.0139, -0.1236
16:15:51, 0.20, 6, 3.80, 344.40, 345.23, 0.9826, -0.1387, 0.0152, -0.1228
16:15:51, 0.20, 6, 3.92, 344.42, 345.30, 0.9827, -0.1387, 0.0163, -0.1220
16:15:51, 0.20, 6, 4.04, 344.46, 345.35, 0.9827, -0.1385, 0.0174, -0.1215
16:15:51, 0.23, 7, 4.18, 344.48, 345.39, 0.9828, -0.1384, 0.0187, -0.1210
16:15:51, 0.23, 7, 4.28, 344.52, 345.47, 0.9829, -0.1382, 0.0197, -0.1202
16:15:51, 0.27, 8, 4.40, 344.54, 345.54, 0.9830, -0.1381, 0.0208, -0.1195
16:15:51, 0.27, 8, 4.46, 344.54, 345.63, 0.9830, -0.1382, 0.0215, -0.1186
16:15:51, 0.27, 8, 4.54, 344.54, 345.69, 0.9831, -0.1382, 0.0222, -0.1181
16:15:51, 0.30, 9, 4.62, 344.53, 345.74, 0.9831, -0.1384, 0.0230, -0.1175
16:15:51, 0.30, 9, 4.70, 344.54, 345.83, 0.9832, -0.1383, 0.0237, -0.1167
16:15:51, 0.33, 10, 4.78, 344.56, 345.88, 0.9833, -0.1383, 0.0245, -0.1161
16:15:51, 0.33, 10, 4.88, 344.59, 345.90, 0.9833, -0.1381, 0.0254, -0.1158
16:15:51, 0.33, 10, 4.94, 344.60, 345.97, 0.9834, -0.1381, 0.0260, -0.1152
16:15:51, 0.37, 11, 5.02, 344.61, 346.04, 0.9834, -0.1381, 0.0268, -0.1145
16:15:51, 0.37, 11, 5.09, 344.63, 346.11, 0.9835, -0.1379, 0.0276, -0.1138
16:15:51, 0.40, 12, 5.17, 344.65, 346.16, 0.9835, -0.1378, 0.0283, -0.1133
16:15:51, 0.40, 12, 5.26, 344.63, 346.21, 0.9835, -0.1381, 0.0291, -0.1128
16:15:51, 0.43, 13, 5.36, 344.61, 346.27, 0.9836, -0.1383, 0.0300, -0.1121
16:15:51, 0.43, 13, 5.45, 344.61, 346.32, 0.9836, -0.1384, 0.0308, -0.1115
16:15:51, 0.43, 13, 5.53, 344.61, 346.37, 0.9836, -0.1385, 0.0316, -0.1111
16:15:51, 0.47, 14, 5.60, 344.62, 346.44, 0.9837, -0.1385, 0.0323, -0.1104
16:15:51, 0.47, 14, 5.67, 344.61, 346.51, 0.9837, -0.1386, 0.0330, -0.1097
16:15:51, 0.50, 15, 5.79, 344.62, 346.51, 0.9837, -0.1386, 0.0340, -0.1095
16:15:51, 0.50, 15, 5.87, 344.64, 346.55, 0.9837, -0.1385, 0.0347, -0.1091
16:15:51, 0.50, 15, 5.97, 344.66, 346.57, 0.9837, -0.1384, 0.0356, -0.1088
16:15:51, 0.53, 16, 6.09, 344.68, 346.58, 0.9837, -0.1384, 0.0367, -0.1086
16:15:51, 0.53, 16, 6.17, 344.72, 346.59, 0.9837, -0.1381, 0.0374, -0.1085
16:15:51, 0.57, 17, 6.29, 344.75, 346.61, 0.9838, -0.1379, 0.0386, -0.1082
16:15:51, 0.57, 17, 6.41, 344.76, 346.61, 0.9837, -0.1380, 0.0396, -0.1080
16:15:51, 0.60, 18, 6.53, 344.82, 346.62, 0.9838, -0.1376, 0.0407, -0.1078
16:15:51, 0.60, 18, 6.67, 344.88, 346.61, 0.9838, -0.1372, 0.0420, -0.1078
16:15:51, 0.63, 19, 6.91, 344.97, 346.60, 0.9838, -0.1366, 0.0441, -0.1076
16:15:51, 0.63, 19, 7.05, 344.99, 346.63, 0.9838, -0.1366, 0.0454, -0.1072
16:15:51, 0.67, 20, 7.19, 345.01, 346.62, 0.9837, -0.1366, 0.0466, -0.1071
16:15:51, 0.67, 20, 7.33, 345.06, 346.63, 0.9837, -0.1363, 0.0478, -0.1069
16:15:51, 0.67, 20, 7.46, 345.10, 346.63, 0.9837, -0.1360, 0.0490, -0.1068
16:15:51, 0.70, 21, 7.60, 345.17, 346.63, 0.9837, -0.1355, 0.0503, -0.1067
16:15:51, 0.70, 21, 7.71, 345.21, 346.62, 0.9837, -0.1353, 0.0513, -0.1067
